# CSP violation baseline — generated by `bin/rails csp:baseline`.
# Pre-existing inline style/script/event-handler debt that csp:report tolerates.
# Goal: burn this list down to zero. Do NOT add new entries by hand.
# Format: <file>|<label>|<code snippet>
app/views/admin/agent_dashboard/show.html.erb|inline style attribute|<div class="agent-progress-bar <%= progress_class %>" style="width: <%= pct %>%;"></div>
app/views/admin/agent_dashboard/show.html.erb|inline style attribute|<div class="agent-progress-bar agent-progress-other" style="width: <%= pct %>%;"></div>
app/views/admin/agent_dashboard/timeline.html.erb|inline <script>|<script>
app/views/admin/agent_dashboard/timeline.html.erb|inline event handler|<select id="filter-action-type" onchange="filterTimeline()" class="agent-filter-select">
app/views/admin/agent_dashboard/timeline.html.erb|inline event handler|<select id="filter-agent" onchange="filterTimeline()" class="agent-filter-select">
app/views/admin/agent_dashboard/timeline.html.erb|inline event handler|<select id="filter-decision" onchange="filterTimeline()" class="agent-filter-select">
app/views/admin/agent_lifecycle/_action_fields.html.erb|inline event handler|<button type="button" class="admin-btn-small admin-btn-danger" onclick="removeAction(<%= index %>)">
app/views/admin/agent_lifecycle/index.html.erb|<style> block|<style>
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="color: #666; font-size: 14px; margin-bottom: 8px;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="color: #888; font-size: 13px; line-height: 1.5;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="display: flex; gap: 20px; align-items: flex-start;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; margin-bottom: 12px;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="display: flex; justify-content: space-between; margin-bottom: 16px;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="display: grid; grid-template-columns: repeat(auto-fit, minmax(350px, 1fr)); gap: 24px;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="flex: 1;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<div style="margin-top: 20px; padding-top: 16px; border-top: 1px solid #e5e7eb;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<h3 style="margin: 0 0 4px 0;"><%= agent.name %></h3>
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<p style="color: #666; margin-bottom: 16px;">
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<span style="color: #666; font-size: 14px;">Lifecycle Stages:</span>
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<span style="color: #666; font-size: 14px;">Total Actions:</span>
app/views/admin/agent_lifecycle/index.html.erb|inline style attribute|<span style="font-weight: 600; color: #333;">
app/views/admin/agent_lifecycle/show.html.erb|inline style attribute|<div style="margin-left: auto;">
app/views/admin/agent_lifecycle/stage_form.html.erb|inline <script>|<script>
app/views/admin/agent_lifecycle/stage_form.html.erb|inline event handler|<button type="button" class="admin-btn admin-btn-secondary" onclick="addAction()">
app/views/admin/agent_lifecycle/stage_form.html.erb|inline event handler|<button type="button" class="admin-btn-small admin-btn-danger" onclick="removeAction(${actionCount})">
app/views/admin/agent_lifecycle/stage_form.html.erb|inline event handler|<select name="automated_actions[${actionCount}][action_type]" class="admin-form-select action-type-select" onchange="upd
app/views/admin/applications/_checklist.html.erb|inline style attribute|<div class="progress-fill" data-progress="100" style="width: 100%"></div>
app/views/admin/applications/_checklist.html.erb|inline style attribute|style="width: <%= @application.checklist_completion_percentage %>%"></div>
app/views/admin/applications/new.html.erb|inline style attribute|<div class="actions" style="display: flex; gap: 12px; margin-top: 32px;">
app/views/admin/applications/new.html.erb|inline style attribute|<small style="color: #6b7280; font-size: 14px;">Enter amount without commas (e.g., 1500000 for $1.5M)</small>
app/views/admin/applications/show.html.erb|inline <script>|<script>
app/views/admin/applications/show.html.erb|inline style attribute|<div class="admin-tab-content" id="agent-activity" style="display:none">
app/views/admin/applications/show.html.erb|inline style attribute|<div class="admin-tab-content" id="documents" style="display:none">
app/views/admin/applications/show.html.erb|inline style attribute|<div class="admin-tab-content" id="history" style="display:none">
app/views/admin/applications/show.html.erb|inline style attribute|<div class="admin-tab-content" id="messages" style="display:none">
app/views/admin/applications/show.html.erb|inline style attribute|<div class="detail-row" style="align-items: center; flex-wrap: wrap; gap: 0.5rem;">
app/views/admin/applications/show.html.erb|inline style attribute|<div style="display: flex; align-items: center; gap: 0.5rem; flex-wrap: wrap;">
app/views/admin/applications/show.html.erb|inline style attribute|<div style="margin-top: 1rem; padding: 0.5rem; background: #f8f9fa; border-radius: 4px; font-size: 0.85rem;">
app/views/admin/applications/show.html.erb|inline style attribute|<p style="color: #6c757d; padding: 1rem 0;">No agent activity recorded for this application yet.</p>
app/views/admin/applications/show.html.erb|inline style attribute|<p style="color: #6c757d; padding: 1rem 0;">No documents requested yet. Click "Request All Documents" to begin.</p>
app/views/admin/applications/show.html.erb|inline style attribute|<strong style="min-width: 140px;"><%= doc.display_name %></strong>
app/views/admin/broker_commission_rates/_form.html.erb|<style> block|<style>
app/views/admin/broker_commission_rates/edit.html.erb|<style> block|<style>
app/views/admin/broker_commission_rates/index.html.erb|<style> block|<style>
app/views/admin/broker_commission_rates/new.html.erb|<style> block|<style>
app/views/admin/brokers/_form.html.erb|<style> block|<style>
app/views/admin/brokers/edit.html.erb|<style> block|<style>
app/views/admin/brokers/index.html.erb|<style> block|<style>
app/views/admin/brokers/new.html.erb|<style> block|<style>
