total_borrower_income,avg_annual_income,first_year_income,last_year_income,income_vs_target,initial_investment,total_payments_made,total_admin_costs,final_profit,total_return,cagr,prob_default,market_risk,insurance_needed,complexity_score,house_value,loan_duration,loan_amount
1077687.9588059175,107768.79588059176,96193.09429391321,120131.99342835226,3.592293196019725,800000.0,1077687.9588059175,0,-39009.145153639605,-0.04876143144204951,-0.004986564317593034,0.0,0.0,False,1.0,1000000,10,800000.0
1245552.620891647,83036.84139277646,69460.05549282649,98145.24001474885,2.7678947130925486,800000.0,1245552.620891647,0,-89001.28416677052,-0.11125160520846315,-0.007831909781898516,0.0,0.0,False,1.0,1000000,15,800000.0
1437879.692485617,71893.98462428086,56288.86142642104,89986.19876932814,2.3964661541426953,800000.0,1437879.692485617,0,-161971.9602586112,-0.20246495032326398,-0.011247740597155609,0.0,0.0,False,1.0,1000000,20,800000.0
1657991.5027408125,66319.6601096325,48539.22832883515,87794.16185107836,2.21065533698775,800000.0,1657991.5027408125,0,-266197.63853804,-0.33274704817254996,-0.01605319433382324,0.0,0.0,False,1.0,1000000,25,800000.0
1909638.7457220207,63654.62485740069,43497.065285938894,89012.7160282822,2.121820828580023,800000.0,1909638.7457220207,0,-412597.1288796531,-0.5157464110995664,-0.023881759820788995,0.0,0.0,False,1.0,1000000,30,800000.0
1185456.7546865095,118545.67546865095,105812.40372330454,132145.1927711875,3.9515225156216984,880000.0,1185456.7546865095,0,-42910.05966900333,-0.04876143144204924,-0.004986564317593034,0.0,0.0,False,1.0,1100000,10,880000.0
1370107.8829808116,91340.5255320541,76406.06104210914,107959.76401622374,3.0446841844018033,880000.0,1370107.8829808116,0,-97901.41258344756,-0.11125160520846313,-0.007831909781898516,0.0,0.0,False,1.0,1100000,15,880000.0
1581667.6617341787,79083.38308670893,61917.74756906315,98984.81864626096,2.636112769556964,880000.0,1581667.6617341787,0,-178169.15628447238,-0.20246495032326406,-0.011247740597155609,0.0,0.0,False,1.0,1100000,20,880000.0
1823790.653014894,72951.62612059577,53393.15116171866,96573.5780361862,2.431720870686526,880000.0,1823790.653014894,0,-292817.40239184455,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,1100000,25,880000.0
2100602.620294222,70020.08734314074,47846.77181453278,97913.98763111042,2.3340029114380245,880000.0,2100602.620294222,0,-453856.84176761756,-0.5157464110995654,-0.023881759820788884,0.0,0.0,False,1.0,1100000,30,880000.0
1293225.550567101,129322.5550567101,115431.71315269584,144158.3921140227,4.3107518352236704,960000.0,1293225.550567101,0,-46810.97418436702,-0.04876143144204898,-0.004986564317593034,0.0,0.0,False,1.0,1200000,10,960000.0
1494663.1450699759,99644.20967133173,83352.06659139178,117774.2880176986,3.3214736557110576,960000.0,1494663.1450699759,0,-106801.54100012456,-0.11125160520846308,-0.007831909781898516,0.0,0.0,False,1.0,1200000,15,960000.0
1725455.63098274,86272.781549137,67546.63371170525,107983.43852319376,2.875759384971233,960000.0,1725455.63098274,0,-194366.35231033328,-0.20246495032326384,-0.011247740597155609,0.0,0.0,False,1.0,1200000,20,960000.0
1989589.8032889757,79583.59213155902,58247.07399460217,105352.99422129404,2.6527864043853007,960000.0,1989589.8032889757,0,-319437.1662456482,-0.3327470481725502,-0.01605319433382324,0.0,0.0,False,1.0,1200000,25,960000.0
2291566.4948664242,76385.5498288808,52196.47834312666,106815.25923393862,2.5461849942960266,960000.0,2291566.4948664242,0,-495116.5546555832,-0.5157464110995659,-0.023881759820788995,0.0,0.0,False,1.0,1200000,30,960000.0
1400994.3464476927,140099.43464476927,125051.02258208716,156171.59145685792,4.669981154825642,1040000.0,1400994.3464476927,0,-50711.88869973124,-0.048761431442049266,-0.004986564317593034,0.0,0.0,False,1.0,1300000,10,1040000.0
1619218.4071591408,107947.89381060938,90298.07214067443,127588.81201917348,3.5982631270203127,1040000.0,1619218.4071591408,0,-115701.66941680157,-0.11125160520846304,-0.007831909781898516,0.0,0.0,False,1.0,1300000,15,1040000.0
1869243.600231302,93462.1800115651,73175.51985434735,116982.05840012658,3.1154060003855033,1040000.0,1869243.600231302,0,-210563.54833619425,-0.2024649503232637,-0.011247740597155609,0.0,0.0,False,1.0,1300000,20,1040000.0
2155388.953563057,86215.55814252228,63100.99682748569,114132.41040640188,2.873851938084076,1040000.0,2155388.953563057,0,-346056.9300994527,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,1300000,25,1040000.0
2482530.369438627,82751.0123146209,56546.18487172055,115716.53083676683,2.7583670771540296,1040000.0,2482530.369438627,0,-536376.2675435481,-0.5157464110995655,-0.023881759820788884,0.0,0.0,False,1.0,1300000,30,1040000.0
1508763.1423282847,150876.31423282847,134670.33201147852,168184.7907996932,5.029210474427615,1120000.0,1508763.1423282847,0,-54612.80321509534,-0.048761431442049405,-0.004986564317593034,0.0,0.0,False,1.0,1400000,10,1120000.0
1743773.669248306,116251.57794988707,97244.07768995709,137403.3360206484,3.875052598329569,1120000.0,1743773.669248306,0,-124601.79783347851,-0.11125160520846296,-0.007831909781898516,0.0,0.0,False,1.0,1400000,15,1120000.0
2013031.5694798636,100651.57847399318,78804.40599698946,125980.67827705939,3.3550526157997727,1120000.0,2013031.5694798636,0,-226760.74436205585,-0.20246495032326414,-0.011247740597155609,0.0,0.0,False,1.0,1400000,20,1120000.0
2321188.103837138,92847.52415348552,67954.91966036921,122911.82659150971,3.0949174717828507,1120000.0,2321188.103837138,0,-372676.6939532567,-0.33274704817255063,-0.01605319433382335,0.0,0.0,False,1.0,1400000,25,1120000.0
2673494.244010829,89116.47480036096,60895.89140031445,124617.80243959508,2.9705491600120317,1120000.0,2673494.244010829,0,-577635.9804315143,-0.5157464110995663,-0.023881759820788995,0.0,0.0,False,1.0,1400000,30,1120000.0
1616531.9382088766,161653.19382088765,144289.64144086983,180197.9901425284,5.388439794029589,1200000.0,1616531.9382088766,0,-58513.71773045964,-0.0487614314420497,-0.004986564317593034,0.0,0.0,False,1.0,1500000,10,1200000.0
1868328.9313374704,124555.2620891647,104190.08323923974,147217.8600221233,4.151842069638823,1200000.0,1868328.9313374704,0,-133501.92625015578,-0.11125160520846315,-0.007831909781898516,0.0,0.0,False,1.0,1500000,15,1200000.0
2156819.5387284257,107840.97693642128,84433.29213963157,134979.29815399222,3.594699231214043,1200000.0,2156819.5387284257,0,-242957.94038791663,-0.20246495032326386,-0.011247740597155609,0.0,0.0,False,1.0,1500000,20,1200000.0
2486987.2541112197,99479.49016444878,72808.84249325273,131691.24277661755,3.315983005481626,1200000.0,2486987.2541112197,0,-399296.45780706126,-0.3327470481725511,-0.01605319433382335,0.0,0.0,False,1.0,1500000,25,1200000.0
2864458.1185830305,95481.93728610102,65245.59792890834,133519.07404242328,3.182731242870034,1200000.0,2864458.1185830305,0,-618895.6933194792,-0.515746411099566,-0.023881759820788995,0.0,0.0,False,1.0,1500000,30,1200000.0
1724300.7340894681,172430.0734089468,153908.95087026115,192211.18948536363,5.74766911363156,1280000.0,1724300.7340894681,0,-62414.63224582316,-0.04876143144204934,-0.004986564317593034,0.0,0.0,False,1.0,1600000,10,1280000.0
1992884.1934266349,132858.94622844234,111136.0887885224,157032.38402359816,4.428631540948078,1280000.0,1992884.1934266349,0,-142402.05466683267,-0.11125160520846303,-0.007831909781898516,0.0,0.0,False,1.0,1600000,15,1280000.0
2300607.507976987,115030.37539884934,90062.17828227367,143977.91803092504,3.8343458466283113,1280000.0,2300607.507976987,0,-259155.1364137779,-0.20246495032326398,-0.011247740597155609,0.0,0.0,False,1.0,1600000,20,1280000.0
2652786.4043853013,106111.45617541205,77662.76532613624,140470.6589617254,3.5370485391804016,1280000.0,2652786.4043853013,0,-425916.22166086466,-0.3327470481725505,-0.01605319433382335,0.0,0.0,False,1.0,1600000,25,1280000.0
3055421.9931552336,101847.39977184111,69595.30445750224,142420.34564525154,3.3949133257280373,1280000.0,3055421.9931552336,0,-660155.4062074437,-0.5157464110995654,-0.023881759820788884,0.0,0.0,False,1.0,1600000,30,1280000.0
