Profitability Sweep Started: 2025-10-09 13:07:42.312925
Parameters: 100 paths
================================================================================

[2025-10-09 13:07:42] Starting profitability sweep with 100 Monte Carlo paths
[2025-10-09 13:07:42] Total combinations to test: 2730
[2025-10-09 13:07:42] Estimated time: 4.5 minutes
[2025-10-09 13:07:43] Progress: 10/2730 (0.4%) | Rate: 7.34 sims/sec | ETA: 6.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=0.1157
[2025-10-09 13:07:46] Progress: 20/2730 (0.7%) | Rate: 5.41 sims/sec | ETA: 8.3 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=nan
[2025-10-09 13:07:49] Progress: 30/2730 (1.1%) | Rate: 4.46 sims/sec | ETA: 10.1 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=0.1030
[2025-10-09 13:07:49] Progress: 40/2730 (1.5%) | Rate: 5.32 sims/sec | ETA: 8.4 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=1.5500
[2025-10-09 13:07:51] Progress: 50/2730 (1.8%) | Rate: 5.71 sims/sec | ETA: 7.8 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=nan
[2025-10-09 13:07:52] Progress: 60/2730 (2.2%) | Rate: 5.78 sims/sec | ETA: 7.7 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=1.5500
[2025-10-09 13:07:53] Progress: 70/2730 (2.6%) | Rate: 6.26 sims/sec | ETA: 7.1 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=nan
[2025-10-09 13:07:54] Progress: 80/2730 (2.9%) | Rate: 6.41 sims/sec | ETA: 6.9 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=-0.0279
[2025-10-09 13:07:57] Progress: 90/2730 (3.3%) | Rate: 6.03 sims/sec | ETA: 7.3 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=nan
[2025-10-09 13:07:58] Progress: 100/2730 (3.7%) | Rate: 6.33 sims/sec | ETA: 6.9 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=nan
[2025-10-09 13:07:59] Progress: 110/2730 (4.0%) | Rate: 6.53 sims/sec | ETA: 6.7 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=-0.0057
[2025-10-09 13:08:00] Progress: 120/2730 (4.4%) | Rate: 6.45 sims/sec | ETA: 6.7 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=nan
[2025-10-09 13:08:01] Progress: 130/2730 (4.8%) | Rate: 6.71 sims/sec | ETA: 6.5 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=nan
[2025-10-09 13:08:02] Progress: 140/2730 (5.1%) | Rate: 6.83 sims/sec | ETA: 6.3 min | Last: Principal+Interest HV=$1,400,000 LD=20y AD=20y XIRR=0.0010
[2025-10-09 13:08:04] Progress: 150/2730 (5.5%) | Rate: 6.79 sims/sec | ETA: 6.3 min | Last: Principal+Interest HV=$1,400,000 LD=30y AD=30y XIRR=nan
[2025-10-09 13:08:05] Progress: 160/2730 (5.9%) | Rate: 7.03 sims/sec | ETA: 6.1 min | Last: Principal+Interest HV=$1,500,000 LD=10y AD=30y XIRR=-0.0624
[2025-10-09 13:08:06] Progress: 170/2730 (6.2%) | Rate: 7.13 sims/sec | ETA: 6.0 min | Last: Principal+Interest HV=$1,500,000 LD=20y AD=20y XIRR=0.0102
[2025-10-09 13:08:07] Progress: 180/2730 (6.6%) | Rate: 7.05 sims/sec | ETA: 6.0 min | Last: Principal+Interest HV=$1,500,000 LD=30y AD=30y XIRR=nan
[2025-10-09 13:08:09] Progress: 190/2730 (7.0%) | Rate: 7.03 sims/sec | ETA: 6.0 min | Last: Principal+Interest HV=$1,600,000 LD=10y AD=30y XIRR=-0.0289
[2025-10-09 13:08:10] Progress: 200/2730 (7.3%) | Rate: 7.04 sims/sec | ETA: 6.0 min | Last: Principal+Interest HV=$1,600,000 LD=20y AD=20y XIRR=0.0132
[2025-10-09 13:08:12] Progress: 210/2730 (7.7%) | Rate: 6.91 sims/sec | ETA: 6.1 min | Last: Principal+Interest HV=$1,600,000 LD=30y AD=30y XIRR=-0.0097
[2025-10-09 13:08:13] Progress: 220/2730 (8.1%) | Rate: 7.06 sims/sec | ETA: 5.9 min | Last: Principal+Interest HV=$1,700,000 LD=10y AD=30y XIRR=-0.0113
[2025-10-09 13:08:14] Progress: 230/2730 (8.4%) | Rate: 7.13 sims/sec | ETA: 5.8 min | Last: Principal+Interest HV=$1,700,000 LD=20y AD=20y XIRR=0.0144
[2025-10-09 13:08:16] Progress: 240/2730 (8.8%) | Rate: 7.08 sims/sec | ETA: 5.9 min | Last: Principal+Interest HV=$1,700,000 LD=30y AD=30y XIRR=0.0026
[2025-10-09 13:08:16] Progress: 250/2730 (9.2%) | Rate: 7.23 sims/sec | ETA: 5.7 min | Last: Principal+Interest HV=$1,800,000 LD=10y AD=30y XIRR=-0.0060
