Profitability Sweep Started: 2025-10-09 14:00:38.855209
Parameters: 10000 paths
================================================================================

[2025-10-09 14:00:38] Starting profitability sweep with 10000 Monte Carlo paths
[2025-10-09 14:00:38] Total combinations to test: 2730
[2025-10-09 14:00:38] Estimated time: 455.0 minutes
[2025-10-09 14:01:13] Progress: 10/2730 (0.4%) | Rate: 0.29 sims/sec | ETA: 155.9 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=0.1157
[2025-10-09 14:02:11] Progress: 20/2730 (0.7%) | Rate: 0.22 sims/sec | ETA: 208.1 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=nan
[2025-10-09 14:03:44] Progress: 30/2730 (1.1%) | Rate: 0.16 sims/sec | ETA: 278.3 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=0.1030
[2025-10-09 14:04:16] Progress: 40/2730 (1.5%) | Rate: 0.18 sims/sec | ETA: 244.4 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=1.5500
[2025-10-09 14:05:11] Progress: 50/2730 (1.8%) | Rate: 0.18 sims/sec | ETA: 243.1 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=nan
[2025-10-09 14:06:40] Progress: 60/2730 (2.2%) | Rate: 0.17 sims/sec | ETA: 267.9 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=1.5500
[2025-10-09 14:07:11] Progress: 70/2730 (2.6%) | Rate: 0.18 sims/sec | ETA: 248.4 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=nan
[2025-10-09 14:08:03] Progress: 80/2730 (2.9%) | Rate: 0.18 sims/sec | ETA: 245.4 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=-0.0286
[2025-10-09 14:09:31] Progress: 90/2730 (3.3%) | Rate: 0.17 sims/sec | ETA: 260.4 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=nan
[2025-10-09 14:10:09] Progress: 100/2730 (3.7%) | Rate: 0.18 sims/sec | ETA: 249.9 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=nan
[2025-10-09 14:11:06] Progress: 110/2730 (4.0%) | Rate: 0.18 sims/sec | ETA: 249.2 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=-0.0035
[2025-10-09 14:12:37] Progress: 120/2730 (4.4%) | Rate: 0.17 sims/sec | ETA: 260.4 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=nan
[2025-10-09 14:13:08] Progress: 130/2730 (4.8%) | Rate: 0.17 sims/sec | ETA: 249.7 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=nan
[2025-10-09 14:14:00] Progress: 140/2730 (5.1%) | Rate: 0.17 sims/sec | ETA: 247.0 min | Last: Principal+Interest HV=$1,400,000 LD=20y AD=20y XIRR=0.0049
[2025-10-09 14:15:25] Progress: 150/2730 (5.5%) | Rate: 0.17 sims/sec | ETA: 254.0 min | Last: Principal+Interest HV=$1,400,000 LD=30y AD=30y XIRR=nan
[2025-10-09 14:15:56] Progress: 160/2730 (5.9%) | Rate: 0.17 sims/sec | ETA: 245.6 min | Last: Principal+Interest HV=$1,500,000 LD=10y AD=30y XIRR=-0.0662
[2025-10-09 14:16:58] Progress: 170/2730 (6.2%) | Rate: 0.17 sims/sec | ETA: 245.9 min | Last: Principal+Interest HV=$1,500,000 LD=20y AD=20y XIRR=0.0093
[2025-10-09 14:18:28] Progress: 180/2730 (6.6%) | Rate: 0.17 sims/sec | ETA: 252.5 min | Last: Principal+Interest HV=$1,500,000 LD=30y AD=30y XIRR=nan
[2025-10-09 14:19:01] Progress: 190/2730 (7.0%) | Rate: 0.17 sims/sec | ETA: 245.7 min | Last: Principal+Interest HV=$1,600,000 LD=10y AD=30y XIRR=-0.0246
[2025-10-09 14:19:54] Progress: 200/2730 (7.3%) | Rate: 0.17 sims/sec | ETA: 243.7 min | Last: Principal+Interest HV=$1,600,000 LD=20y AD=20y XIRR=0.0124
[2025-10-09 14:21:23] Progress: 210/2730 (7.7%) | Rate: 0.17 sims/sec | ETA: 249.0 min | Last: Principal+Interest HV=$1,600,000 LD=30y AD=30y XIRR=-0.0712
[2025-10-09 14:21:57] Progress: 220/2730 (8.1%) | Rate: 0.17 sims/sec | ETA: 243.1 min | Last: Principal+Interest HV=$1,700,000 LD=10y AD=30y XIRR=-0.0115
[2025-10-09 14:22:51] Progress: 230/2730 (8.4%) | Rate: 0.17 sims/sec | ETA: 241.4 min | Last: Principal+Interest HV=$1,700,000 LD=20y AD=20y XIRR=0.0148
[2025-10-09 14:24:15] Progress: 240/2730 (8.8%) | Rate: 0.17 sims/sec | ETA: 245.0 min | Last: Principal+Interest HV=$1,700,000 LD=30y AD=30y XIRR=0.0037
[2025-10-09 14:24:46] Progress: 250/2730 (9.2%) | Rate: 0.17 sims/sec | ETA: 239.3 min | Last: Principal+Interest HV=$1,800,000 LD=10y AD=30y XIRR=-0.0039
[2025-10-09 14:25:36] Progress: 260/2730 (9.5%) | Rate: 0.17 sims/sec | ETA: 237.1 min | Last: Principal+Interest HV=$1,800,000 LD=20y AD=20y XIRR=0.0161
[2025-10-09 14:27:04] Progress: 270/2730 (9.9%) | Rate: 0.17 sims/sec | ETA: 240.8 min | Last: Principal+Interest HV=$1,800,000 LD=30y AD=30y XIRR=0.0106
[2025-10-09 14:27:37] Progress: 280/2730 (10.3%) | Rate: 0.17 sims/sec | ETA: 236.0 min | Last: Principal+Interest HV=$1,900,000 LD=10y AD=30y XIRR=0.0007
[2025-10-09 14:28:30] Progress: 290/2730 (10.6%) | Rate: 0.17 sims/sec | ETA: 234.4 min | Last: Principal+Interest HV=$1,900,000 LD=20y AD=20y XIRR=0.0175
[2025-10-09 14:29:56] Progress: 300/2730 (11.0%) | Rate: 0.17 sims/sec | ETA: 237.3 min | Last: Principal+Interest HV=$1,900,000 LD=30y AD=30y XIRR=0.0141
[2025-10-09 14:30:27] Progress: 310/2730 (11.4%) | Rate: 0.17 sims/sec | ETA: 232.8 min | Last: Principal+Interest HV=$2,000,000 LD=10y AD=30y XIRR=0.0040
[2025-10-09 14:31:22] Progress: 320/2730 (11.7%) | Rate: 0.17 sims/sec | ETA: 231.4 min | Last: Principal+Interest HV=$2,000,000 LD=20y AD=20y XIRR=0.0187
[2025-10-09 14:32:48] Progress: 330/2730 (12.1%) | Rate: 0.17 sims/sec | ETA: 233.8 min | Last: Principal+Interest HV=$2,000,000 LD=30y AD=30y XIRR=0.0166
[2025-10-09 14:33:23] Progress: 340/2730 (12.5%) | Rate: 0.17 sims/sec | ETA: 230.2 min | Last: Principal+Interest HV=$2,100,000 LD=10y AD=30y XIRR=0.0070
[2025-10-09 14:34:17] Progress: 350/2730 (12.8%) | Rate: 0.17 sims/sec | ETA: 228.8 min | Last: Principal+Interest HV=$2,100,000 LD=20y AD=20y XIRR=0.0193
[2025-10-09 14:35:41] Progress: 360/2730 (13.2%) | Rate: 0.17 sims/sec | ETA: 230.7 min | Last: Principal+Interest HV=$2,100,000 LD=30y AD=30y XIRR=0.0180
[2025-10-09 14:36:13] Progress: 370/2730 (13.6%) | Rate: 0.17 sims/sec | ETA: 226.9 min | Last: Principal+Interest HV=$2,200,000 LD=10y AD=30y XIRR=0.0092
[2025-10-09 14:37:03] Progress: 380/2730 (13.9%) | Rate: 0.17 sims/sec | ETA: 225.1 min | Last: Principal+Interest HV=$2,200,000 LD=20y AD=20y XIRR=0.0202
[2025-10-09 14:38:26] Progress: 390/2730 (14.3%) | Rate: 0.17 sims/sec | ETA: 226.8 min | Last: Principal+Interest HV=$2,200,000 LD=30y AD=30y XIRR=0.0192
[2025-10-09 14:38:58] Progress: 400/2730 (14.7%) | Rate: 0.17 sims/sec | ETA: 223.2 min | Last: Principal+Interest HV=$2,300,000 LD=10y AD=30y XIRR=0.0109
[2025-10-09 14:39:49] Progress: 410/2730 (15.0%) | Rate: 0.17 sims/sec | ETA: 221.7 min | Last: Principal+Interest HV=$2,300,000 LD=20y AD=20y XIRR=0.0208
[2025-10-09 14:41:14] Progress: 420/2730 (15.4%) | Rate: 0.17 sims/sec | ETA: 223.2 min | Last: Principal+Interest HV=$2,300,000 LD=30y AD=30y XIRR=0.0201
[2025-10-09 14:41:45] Progress: 430/2730 (15.8%) | Rate: 0.17 sims/sec | ETA: 219.9 min | Last: Principal+Interest HV=$2,400,000 LD=10y AD=30y XIRR=0.0124
[2025-10-09 14:42:36] Progress: 440/2730 (16.1%) | Rate: 0.17 sims/sec | ETA: 218.4 min | Last: Principal+Interest HV=$2,400,000 LD=20y AD=20y XIRR=0.0214
[2025-10-09 14:43:59] Progress: 450/2730 (16.5%) | Rate: 0.17 sims/sec | ETA: 219.6 min | Last: Principal+Interest HV=$2,400,000 LD=30y AD=30y XIRR=0.0208
[2025-10-09 14:44:30] Progress: 460/2730 (16.8%) | Rate: 0.17 sims/sec | ETA: 216.4 min | Last: Principal+Interest HV=$2,500,000 LD=10y AD=30y XIRR=0.0136
[2025-10-09 14:45:20] Progress: 470/2730 (17.2%) | Rate: 0.18 sims/sec | ETA: 214.9 min | Last: Principal+Interest HV=$2,500,000 LD=20y AD=20y XIRR=0.0218
[2025-10-09 14:46:43] Progress: 480/2730 (17.6%) | Rate: 0.17 sims/sec | ETA: 216.0 min | Last: Principal+Interest HV=$2,500,000 LD=30y AD=30y XIRR=0.0215
[2025-10-09 14:47:22] Progress: 490/2730 (17.9%) | Rate: 0.17 sims/sec | ETA: 213.6 min | Last: Principal+Interest HV=$2,600,000 LD=10y AD=30y XIRR=0.0146
[2025-10-09 14:48:17] Progress: 500/2730 (18.3%) | Rate: 0.17 sims/sec | ETA: 212.5 min | Last: Principal+Interest HV=$2,600,000 LD=20y AD=20y XIRR=0.0221
[2025-10-09 14:49:44] Progress: 510/2730 (18.7%) | Rate: 0.17 sims/sec | ETA: 213.7 min | Last: Principal+Interest HV=$2,600,000 LD=30y AD=30y XIRR=0.0219
[2025-10-09 14:50:15] Progress: 520/2730 (19.0%) | Rate: 0.17 sims/sec | ETA: 210.9 min | Last: Principal+Interest HV=$2,700,000 LD=10y AD=30y XIRR=0.0156
[2025-10-09 14:51:05] Progress: 530/2730 (19.4%) | Rate: 0.18 sims/sec | ETA: 209.4 min | Last: Principal+Interest HV=$2,700,000 LD=20y AD=20y XIRR=0.0225
[2025-10-09 14:52:27] Progress: 540/2730 (19.8%) | Rate: 0.17 sims/sec | ETA: 210.1 min | Last: Principal+Interest HV=$2,700,000 LD=30y AD=30y XIRR=0.0224
[2025-10-09 14:52:58] Progress: 550/2730 (20.1%) | Rate: 0.18 sims/sec | ETA: 207.4 min | Last: Principal+Interest HV=$2,800,000 LD=10y AD=30y XIRR=0.0165
[2025-10-09 14:53:48] Progress: 560/2730 (20.5%) | Rate: 0.18 sims/sec | ETA: 206.0 min | Last: Principal+Interest HV=$2,800,000 LD=20y AD=20y XIRR=0.0227
[2025-10-09 14:55:16] Progress: 570/2730 (20.9%) | Rate: 0.17 sims/sec | ETA: 207.0 min | Last: Principal+Interest HV=$2,800,000 LD=30y AD=30y XIRR=0.0226
[2025-10-09 14:55:51] Progress: 580/2730 (21.2%) | Rate: 0.18 sims/sec | ETA: 204.7 min | Last: Principal+Interest HV=$2,900,000 LD=10y AD=30y XIRR=0.0172
[2025-10-09 14:56:46] Progress: 590/2730 (21.6%) | Rate: 0.18 sims/sec | ETA: 203.6 min | Last: Principal+Interest HV=$2,900,000 LD=20y AD=20y XIRR=0.0229
