loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.625,1286608.49,490826.4761348757,731210.0,959802.5,1232461.0,1569652.0,1958985.3,326875.0,4100,1.0,0.0,136993.275,136993.275,0.11030386432224715,0.016910953118058902,0.18,20196.14620680608,0.09589004516601562
Principal+Interest,1000000,10,10,800000.0,0.625,704595.67,308441.156361202,341382.5,494759.75,633846.0,874496.5,1094732.9000000001,250000.0,4100,1.0,0.0,15913.79,15913.79,0.0372106520860922,-0.0035001783631433137,0.64,99181.81174271432,0.07006311416625977
Interest Only,1000000,10,15,800000.0,0.4375,807717.46,331220.4211832606,487910.1,565078.75,714932.0,1007995.0,1177399.2000000002,251875.0,4100,1.0,0.0,26317.435,26317.435,0.09071583358890156,0.007256293404380942,0.32,22916.27831001641,0.07464075088500977
Principal+Interest,1000000,10,15,800000.0,0.4375,307170.48,216557.50010266734,96176.6,156072.5,272948.5,376403.25,597693.0000000001,175000.0,4100,1.0,0.0,1187.59,1187.59,-0.012587257546095354,-0.026826924741267577,0.86,167465.6693666441,0.08211398124694824
Interest Only,1000000,10,20,800000.0,0.25,424968.83,169706.80211060244,225474.2,297398.5,405566.0,517101.0,623435.7000000002,176875.0,4100,1.0,0.0,0.0,0.0,0.07828287559452352,-0.006984447781480996,0.41,28615.087679488377,0.08340883255004883
Principal+Interest,1000000,10,20,800000.0,0.25,-74580.11,79482.55567255184,-156780.7,-126997.0,-94669.0,-38497.0,47373.3,100000.0,4100,1.0,0.0,0.0,0.0,nan,nan,1.0,253052.90067082623,0.23529410362243652
Interest Only,1000000,10,25,800000.0,0.0625,25388.56,9579.51314985698,15171.5,19545.25,23686.0,30361.75,36532.700000000004,101875.0,4100,1.0,0.0,0.0,0.0,-0.06552689505535114,-0.2954090218867488,1.0,85449.70670633425,0.24020123481750488
Principal+Interest,1000000,10,25,800000.0,0.0625,-472923.69,120198.39640644424,-625782.5,-541064.75,-456774.0,-375108.0,-347431.1,25000.0,4100,1.0,0.0,0.0,0.0,nan,nan,1.0,370157.6122148145,0.21739602088928223
Interest Only,1000000,10,30,800000.0,-0.125,-399076.37,126751.74320142146,-588550.4,-472187.5,-382029.0,-305086.0,-248480.09999999998,0.0,100,0.024390243902439025,26875.0,0.0,26875.0,0.14843283591813794,0.10013369009418271,1.0,202045.279314487,0.1455230712890625
Principal+Interest,1000000,10,30,800000.0,-0.125,-820041.87,246101.60154592202,-1182003.8,-1000167.25,-791133.5,-638269.75,-520851.29999999976,-50.0,104,0.025365853658536587,-49950.0,0.0,-49950.0,0.2341944886791174,0.1156558750841361,1.0,486400.7092178825,0.11577105522155762
Interest Only,1000000,15,15,800000.0,0.4375,1172018.97,529489.1034022002,597383.2,811564.75,1043296.0,1444505.5,1957516.5000000005,432740.625,6094,0.9990163934426229,1321.875,91573.205,92895.08,0.08935456804977693,0.009946209905659309,0.24,22578.009735266423,0.2629988193511963
Principal+Interest,1000000,15,15,800000.0,0.4375,330569.35,482802.9281699127,-77783.8,57950.75,229080.0,439102.0,864495.7000000002,261581.25,6091,0.9985245901639345,918.75,22136.33,23055.08,0.0005135176028325805,-0.020861987805127158,0.86,204901.80223400838,0.2787656784057617
Interest Only,1000000,15,20,800000.0,0.25,657562.72,311461.09971127234,312992.7,462178.75,605127.5,805001.75,983933.5,319926.875,6090,0.9983606557377049,1635.625,12534.2275,14169.8525,0.08394482492754696,0.00025564034276381875,0.37,26993.770127351334,0.38788890838623047
Principal+Interest,1000000,15,20,800000.0,0.25,-381609.71,127003.09669598452,-526154.0,-473580.0,-370613.5,-289483.5,-235941.59999999998,150000.0,6100,1.0,0.0,0.0,0.0,nan,nan,1.0,406236.9018033532,0.3333461284637451
Interest Only,1000000,15,25,800000.0,0.0625,-1.66,821.0212317780235,58.0,80.0,107.0,137.25,171.3,208944.0625,6098,0.9996721311475409,118.4375,0.0,118.4375,nan,nan,1.0,143783.36783369217,0.24988174438476562
Principal+Interest,1000000,15,25,800000.0,0.0625,-1091598.38,371645.04810113716,-1507030.8,-1226029.5,-1035859.5,-865194.75,-734711.8999999999,37500.0,6100,1.0,0.0,0.0,0.0,nan,nan,1.0,654711.475620728,0.18137311935424805
Interest Only,1000000,15,30,800000.0,-0.125,-844087.73,347198.5575060762,-1285114.7,-966570.75,-809062.0,-594189.25,-477040.5,937.8125,123,0.020163934426229508,95624.6875,0.0,95624.6875,0.15281381548052564,0.09424455583347235,1.0,413686.2373649503,0.1381549835205078
Principal+Interest,1000000,15,30,800000.0,-0.125,-1502488.97,553102.2767825582,-2152754.9,-1709775.75,-1406330.0,-1170169.25,-927121.2999999999,-4037.5,423,0.06934426229508196,-70962.5,0.0,-70962.5,0.1979924641162989,0.10694489833910947,1.0,776510.4600581982,0.16440224647521973
Interest Only,1000000,20,20,800000.0,0.25,961447.76,457960.95885205024,466876.9,571599.25,952062.0,1292631.75,1615203.3000000005,473401.25,7959,0.9825925925925926,30348.75,51559.04,81907.79,0.08449890599581633,0.0049236483844470325,0.38,33570.897297066265,0.16687798500061035
Principal+Interest,1000000,20,20,800000.0,0.25,-839129.77,300416.9317439037,-1238648.3,-970507.75,-789842.0,-648044.75,-507536.19999999984,200000.0,8100,1.0,0.0,0.0,0.0,nan,nan,1.0,565522.6516774095,0.15700483322143555
Interest Only,1000000,20,25,800000.0,0.0625,-230029.86,111411.43514446756,-370336.0,-272125.75,-203802.0,-161883.75,-118921.29999999999,318339.6875,5991,0.7396296296296296,35410.3125,0.0,35410.3125,nan,nan,1.0,273088.05048337404,0.17283296585083008
Principal+Interest,1000000,20,25,800000.0,0.0625,-2005589.06,740317.1741596254,-2857983.5,-2447552.0,-1901788.5,-1469335.25,-1192376.5999999999,47181.25,7649,0.944320987654321,2818.75,0.0,2818.75,nan,nan,1.0,959676.9203436445,0.2073650360107422
Interest Only,1000000,20,30,800000.0,-0.125,-1440802.61,683218.7348412208,-2262813.5,-1776339.5,-1292642.5,-923103.25,-749686.3999999998,21589.0625,486,0.06,182160.9375,0.0,182160.9375,0.14269472964864338,0.09122175759807827,1.0,621777.774942346,0.17986297607421875
Principal+Interest,1000000,20,30,800000.0,-0.125,-2911095.81,1282118.577063379,-4987440.9,-3471846.75,-2563501.0,-2077451.5,-1615804.4999999998,-23362.5,1969,0.24308641975308642,-76637.5,0.0,-76637.5,0.1835941908714771,0.10413548547841867,1.0,1272285.09217452,0.39690637588500977
Interest Only,1000000,25,25,800000.0,0.0625,-458370.11,300690.25063827226,-764516.1,-558363.25,-393326.5,-284523.25,-204717.39999999985,491634.6875,7683,0.7606930693069307,44302.8125,0.0,44302.8125,nan,nan,1.0,375118.60187682277,0.32096099853515625
Principal+Interest,1000000,25,25,800000.0,0.0625,-3540092.86,1506221.2930774814,-5867809.0,-4285877.5,-3399753.5,-2491782.25,-1880546.3999999997,58800.0,9508,0.9413861386138613,3700.0,0.0,3700.0,nan,nan,1.0,1368761.021410521,0.4491581916809082
Interest Only,1000000,25,30,800000.0,-0.125,-2408097.06,980605.9138067464,-4031690.1,-2755977.25,-2156177.5,-1768647.75,-1427282.7,104290.3125,1579,0.15633663366336634,244147.1875,0.0,244147.1875,0.13570871785067418,0.09012769870813453,1.0,904927.0369700422,0.3936450481414795
Principal+Interest,1000000,25,30,800000.0,-0.125,-4993487.05,2509358.8097443623,-8067250.1,-6396125.75,-4391354.0,-3307840.5,-2293776.0999999996,-45325.0,3726,0.3689108910891089,-79675.0,0.0,-79675.0,0.16932748295228306,0.10321110329664074,1.0,1818627.0450050225,0.23051691055297852
Interest Only,1000000,30,30,800000.0,-0.125,-4090183.37,2481038.46342968,-7994779.8,-5103311.75,-3330023.5,-2375534.75,-1766776.9999999998,263018.4375,3334,0.2755371900826446,267606.5625,0.0,267606.5625,0.13168291470664029,0.08979370652626062,1.0,1311341.515910544,0.4465968608856201
Principal+Interest,1000000,30,30,800000.0,-0.125,-7721416.3,5030304.031102901,-13257152.4,-8725107.25,-6657877.0,-4750413.75,-3057500.499999999,-68175.0,5554,0.4590082644628099,-81825.0,0.0,-81825.0,0.1559079009584008,0.10295739336264842,1.0,2328805.296497826,0.22898602485656738
Interest Only,1100000,10,10,880000.0,0.6590909090909092,1510663.7,534604.5506145528,854545.3,1137074.5,1390005.5,1795832.0,2297677.5000000005,366875.00000000006,4100,1.0,0.0,178324.16,178324.16,0.11280701169538299,0.018829220350456977,0.15,15438.4247470752,0.13078713417053223
Principal+Interest,1100000,10,10,880000.0,0.6590909090909092,929205.99,454742.255786026,453728.9,615493.0,832138.5,1162842.5,1556232.5000000002,290000.00000000006,4100,1.0,0.0,49537.525,49537.525,0.053717251497903185,0.0029172328166526817,0.55,93578.92572957392,0.07959198951721191
Interest Only,1100000,10,15,880000.0,0.48863636363636365,1037746.9,352500.631743642,646402.8,790152.0,986472.5,1270001.75,1525166.7000000004,291875.0,4100,1.0,0.0,44517.39,44517.39,0.0966965754148601,0.011527737127291493,0.19,14091.599753179022,0.07161903381347656
Principal+Interest,1100000,10,15,880000.0,0.48863636363636365,534559.32,291093.0023284023,213076.7,317793.25,475547.0,693632.5,932998.1000000001,215000.0,4100,1.0,0.0,4550.385,4550.385,0.022871008461069042,-0.010416352717511845,0.69,125930.81554122193,0.07684206962585449
Interest Only,1100000,10,20,880000.0,0.31818181818181823,669633.48,279399.62584360247,397405.2,474168.5,602694.0,798970.75,1014671.7000000002,216875.00000000003,4100,1.0,0.0,10035.78,10035.78,0.09273275071818743,0.004438954514435212,0.31,17999.089928234196,0.07374978065490723
Principal+Interest,1100000,10,20,880000.0,0.31818181818181823,125900.05,148482.05985823658,-20526.0,27797.5,80910.0,195552.5,353510.00000000006,140000.00000000003,4100,1.0,0.0,0.0,0.0,-0.0768191499878238,-0.06578844443882692,0.95,200765.44326357162,0.07179594039916992
Interest Only,1100000,10,25,880000.0,0.1477272727272727,242005.17,87804.10191702696,144603.7,167541.5,241765.5,296416.5,351378.30000000005,141875.0,4100,1.0,0.0,0.0,0.0,0.06411393176232694,-0.025319237354294644,0.62,35789.66697576031,0.0657658576965332
Principal+Interest,1100000,10,25,880000.0,0.1477272727272727,-294696.98,65985.15435866594,-385854.2,-329222.5,-285424.0,-252974.5,-222523.39999999997,65000.0,4100,1.0,0.0,0.0,0.0,nan,nan,1.0,330821.73327020375,0.08501482009887695
Interest Only,1100000,10,30,880000.0,-0.022727272727272707,-271366.93,75083.5914976566,-368343.4,-302915.0,-263228.5,-221126.25,-183779.0,0.0,100,0.024390243902439025,66875.0,0.0,66875.0,0.297934249390146,1.5189055855888096,1.0,169814.49113574272,0.07341289520263672
Principal+Interest,1100000,10,30,880000.0,-0.022727272727272707,-662878.51,170947.21931640187,-891072.0,-770325.5,-627068.5,-539759.5,-485107.0,-667.4999999999999,367,0.08951219512195122,-9332.499999999998,0.0,-9332.499999999998,0.4191895165890518,1.5499999999985588,1.0,433854.7471814267,0.0708150863647461
Interest Only,1100000,15,15,880000.0,0.48863636363636365,1655836.55,758353.0420075924,756245.3,1034520.25,1578350.5,2138856.5,2778627.1000000006,492784.6875,6094,0.9990163934426229,1277.8125,227027.57125,228305.38375,0.10346027146833725,0.015915046440820646,0.17,19435.443084677914,0.11611199378967285
Principal+Interest,1100000,15,15,880000.0,0.48863636363636365,608460.24,513003.18224598514,118631.1,263485.5,475856.0,766101.0,1305715.1000000003,322500.0,6100,1.0,0.0,29985.315,29985.315,0.026700312331982223,-0.007528449015021477,0.75,161031.38666660758,0.10318303108215332
Interest Only,1100000,15,20,880000.0,0.31818181818181823,989945.7,462216.52778778033,514099.9,688280.25,891240.0,1197228.0,1661628.9000000004,379592.96875,6090,0.9983606557377049,1969.53125,47009.205625,48978.736875,0.09120611052572114,0.007749820198364343,0.21,18244.45625280821,0.12675881385803223
Principal+Interest,1100000,15,20,880000.0,0.31818181818181823,-16683.62,281848.2351683091,-286507.5,-225048.75,-94162.5,121530.25,276811.9000000003,210000.00000000003,6100,1.0,0.0,320.34499999999986,320.34499999999986,nan,nan,0.93,290925.64447352,0.13766002655029297
Interest Only,1100000,15,25,880000.0,0.1477272727272727,330508.51,162372.72762335546,160370.0,213921.0,307729.5,397361.5,534499.8000000002,266645.3125,6081,0.9968852459016393,2417.1875,0.0,2417.1875,0.06418210808698777,-0.01725116691621964,0.77,59001.58704317108,0.11655688285827637
Principal+Interest,1100000,15,25,880000.0,0.1477272727272727,-706883.18,214068.7830953567,-1013780.0,-789389.0,-654223.0,-566758.0,-503724.39999999997,97500.0,6100,1.0,0.0,0.0,0.0,nan,nan,1.0,518829.8117863484,0.09882187843322754
Interest Only,1100000,15,30,880000.0,-0.022727272727272707,-599426.25,195598.73194288387,-834831.4,-677307.75,-561289.0,-486588.75,-398212.5,5896.5625,219,0.0359016393442623,150665.9375,0.0,150665.9375,0.2544317881492688,1.5189055855888034,1.0,325008.9804095479,0.10391092300415039
Principal+Interest,1100000,15,30,880000.0,-0.022727272727272707,-1438339.25,521433.38920137036,-2158851.6,-1762155.25,-1298620.5,-1089225.0,-912729.8999999993,-4214.999999999999,1786,0.29278688524590163,-10784.999999999998,0.0,-10784.999999999998,0.3298074318342272,1.5499999999999718,1.0,785212.9984510328,0.10059809684753418
Interest Only,1100000,20,20,880000.0,0.31818181818181823,1555706.09,759836.3238327838,713557.1,1012909.5,1349788.0,2038081.5,2575181.6000000006,539043.125,7881,0.9729629629629629,44706.875,196148.0375,240854.9125,0.09601625565196148,0.012426963471643848,0.17,15706.132313657503,0.17461299896240234
Principal+Interest,1100000,20,20,880000.0,0.31818181818181823,-330061.83,343750.3571622183,-670164.3,-511492.75,-347289.0,-191463.75,15857.70000000009,280000.00000000006,8100,1.0,0.0,0.0,0.0,nan,nan,0.98,407696.985374945,0.1472759246826172
Interest Only,1100000,20,25,880000.0,0.1477272727272727,436323.77,196475.72694452846,220144.2,280377.0,408343.5,536592.75,723655.6000000001,404387.34375,7945,0.9808641975308642,29362.65625,782.745625,30145.401875,0.06250796991994423,-0.010782466158436255,0.81,74744.89990246156,0.13385009765625
Principal+Interest,1100000,20,25,880000.0,0.1477272727272727,-1420051.27,569197.5830112915,-1973650.3,-1708746.5,-1342948.5,-1040014.25,-833792.6,130000.0,8100,1.0,0.0,0.0,0.0,nan,nan,1.0,766753.4685769025,0.12995100021362305
Interest Only,1100000,20,30,880000.0,-0.022727272727272707,-1136631.63,464878.2207251257,-1750723.8,-1305205.75,-996665.0,-833150.75,-683819.2999999999,76132.1875,1296,0.16,207617.8125,0.0,207617.8125,0.2238536490560492,1.5189055855888016,1.0,544361.8362082203,0.1355609893798828
