loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.625,1243137.6766,484390.5782137096,713589.9,895266.5,1156471.5,1491291.0,1880814.5,326868.0421875,409996,0.9999902439024391,6.9578125,120219.24895625,120226.20676875,0.10551326093367153,0.015644810273164778,0.1844,17849.040843591214,3.198802947998047
Principal+Interest,1000000,10,10,800000.0,0.625,728578.1721,378740.0583109162,327164.0,459576.75,658801.5,917052.0,1215428.5000000002,249999.375,409999,0.9999975609756098,0.625,26579.8071,26580.4321,0.04209372582130544,-0.0020528332464376797,0.5989,104877.4627145842,3.572859048843384
Interest Only,1000000,10,15,800000.0,0.4375,836482.7441,326081.1613736453,482381.9,602765.75,778623.5,1005859.75,1277455.1,251874.1875,409999,0.9999975609756098,0.8125,29364.9652,29365.7777,0.0948064485507194,0.008436560057265341,0.2489,18818.781794206796,3.7328710556030273
Principal+Interest,1000000,10,15,800000.0,0.4375,319315.7693,219174.44030893737,84668.6,163095.75,276045.0,427956.75,608270.7000000001,175000.0,410000,1.0,0.0,1173.6217,1173.6217,-0.008769717723497328,-0.025364708605323028,0.8468,158307.15638461435,3.156160831451416
Interest Only,1000000,10,20,800000.0,0.25,428236.579,168922.8156057422,245954.3,310250.5,399740.5,512677.75,645061.3,176850.30625,409982,0.9999560975609756,24.69375,674.939825,699.633575,0.07927911065186,-0.006640035368655761,0.4314,25541.686115738405,3.2087221145629883
Principal+Interest,1000000,10,20,800000.0,0.25,-89976.1519,77545.6714688214,-175619.5,-138595.25,-98898.0,-51041.25,5592.40000000006,100000.0,410000,1.0,0.0,0.0,0.0,nan,nan,0.9986,263516.52722071996,3.2806332111358643
Interest Only,1000000,10,25,800000.0,0.0625,25696.3264,10096.42424162682,14717.9,18516.5,23986.5,31085.25,38818.100000000006,101874.1625,409998,0.9999951219512195,0.8375,0.0,0.8375,-0.06440023601977896,-0.291864853766586,1.0,85241.22496913435,3.79429292678833
Principal+Interest,1000000,10,25,800000.0,0.0625,-497903.6424,124675.34994669056,-663826.7,-566972.25,-480531.0,-408897.5,-354810.6,25000.0,410000,1.0,0.0,0.0,0.0,nan,nan,1.0,387033.1729952286,3.2817699909210205
Interest Only,1000000,10,30,800000.0,-0.125,-406242.3484,149843.17471822593,-597516.6,-482033.25,-380403.5,-299558.5,-244308.3,0.490625,10002,0.02439512195121951,26874.509375,0.0,26874.509375,0.15047853277203793,0.10029762769353567,1.0,206886.68900477697,3.359417200088501
Principal+Interest,1000000,10,30,800000.0,-0.125,-820142.7557,256377.48973084646,-1153734.1,-958133.75,-780746.5,-639252.0,-533115.7,-121.5,10972,0.0267609756097561,-49878.5,0.0,-49878.5,0.2342096715236579,0.11565579160972073,1.0,486420.5611438783,3.799269914627075
Interest Only,1000000,15,15,800000.0,0.4375,1346022.798,656045.9020446881,666388.8,886867.75,1203058.5,1662381.5,2190614.9000000004,431082.4125,608539,0.9976049180327868,2980.0875,149847.918975,152828.006475,0.10167899156895222,0.013555121330358855,0.1736,15657.129562241957,4.8939149379730225
Principal+Interest,1000000,15,15,800000.0,0.4375,290649.3606,372280.16890635935,-77399.79999999997,36052.25,209345.5,449153.75,753170.3,262486.4375,609984,0.9999737704918032,13.5625,7640.3978,7653.9603,-0.010601259435864097,-0.025838439060140495,0.8458,208480.80567320052,5.409344673156738
Interest Only,1000000,15,20,800000.0,0.25,667692.6002,313231.58889750356,335434.9,440112.25,604026.5,821665.5,1090485.3,319847.5640625,608936,0.998255737704918,1714.9359375,12126.51769375,13841.45363125,0.08498622697106994,0.0006222970268372485,0.3756,27554.996116345093,5.3869969844818115
Principal+Interest,1000000,15,20,800000.0,0.25,-387457.7831,147745.05577523485,-567324.6,-471659.5,-376705.0,-293405.0,-221379.99999999994,150000.0,610000,1.0,0.0,0.0,0.0,nan,nan,0.9998,409517.31114542036,5.167375087738037
Interest Only,1000000,15,25,800000.0,0.0625,-44.4377,992.8553792467058,54.0,73.0,101.0,137.0,177.0,208921.159375,609755,0.9995983606557377,141.340625,0.0,141.340625,nan,nan,1.0,143794.4034796962,5.496048927307129
Principal+Interest,1000000,15,25,800000.0,0.0625,-1060314.9014,354468.46582267166,-1518243.5,-1245251.5,-999149.0,-806484.5,-669221.7,37500.0,610000,1.0,0.0,0.0,0.0,nan,nan,1.0,637340.8704327577,5.426861047744751
Interest Only,1000000,15,30,800000.0,-0.125,-799517.2017,331508.0492907258,-1240284.7,-958873.5,-733964.0,-560888.0,-445046.5,796.15625,11964,0.01961311475409836,95766.34375,0.0,95766.34375,0.14865212617502266,0.09403155606100677,1.0,388859.1484455704,5.263421297073364
Principal+Interest,1000000,15,30,800000.0,-0.125,-1567510.5697,617106.9669322489,-2382018.7,-1877258.25,-1445801.5,-1128170.0,-908136.8999999999,-5355.125,52841,0.08662459016393442,-69644.875,0.0,-69644.875,0.20138083205760782,0.10708987843197537,1.0,811883.0158908528,6.116747140884399
Interest Only,1000000,20,20,800000.0,0.25,1025578.9922,503247.2041877429,470504.4,651808.5,932822.5,1328795.5,1658096.6,461740.3640625,789544,0.9747456790123457,42009.6359375,71527.42023125,113537.05616875,0.088832155191227,0.0065627773313994275,0.3011,25016.702541014565,6.8962929248809814
Principal+Interest,1000000,20,20,800000.0,0.25,-863791.3555,326208.92890548793,-1281184.5,-1041254.25,-816760.0,-639427.0,-506519.39999999997,200000.0,810000,1.0,0.0,0.0,0.0,nan,nan,0.9999,576778.1722894812,7.697587013244629
Interest Only,1000000,20,25,800000.0,0.0625,-225939.163,108998.92613453162,-360423.6,-276327.0,-202939.0,-150187.75,-114478.2,318196.875,598915,0.7394012345679012,35553.125,0.0,35553.125,nan,nan,1.0,271155.9320109548,7.605633974075317
Principal+Interest,1000000,20,25,800000.0,0.0625,-1994561.5636,804346.9964925221,-3050583.5,-2400468.75,-1834885.5,-1423568.75,-1134994.2,47211.5625,765385,0.9449197530864197,2788.4375,0.0,2788.4375,nan,nan,1.0,954657.9491667094,7.137755870819092
Interest Only,1000000,20,30,800000.0,-0.125,-1453043.0173,654184.3136186572,-2300524.9,-1751801.5,-1318826.5,-990718.75,-776427.7,20633.234375,47064,0.058103703703703706,183116.765625,0.0,183116.765625,0.14317817253767307,0.09123463834118106,1.0,626927.9095711908,7.647822141647339
Principal+Interest,1000000,20,30,800000.0,-0.125,-2801547.5135,1334481.350294172,-4469252.0,-3396612.75,-2522285.5,-1875095.0,-1456140.5999999999,-22454.5,189636,0.23411851851851853,-77545.5,0.0,-77545.5,0.18132637290241949,0.10409296883811403,1.0,1222703.079020482,7.774065017700195
Interest Only,1000000,25,25,800000.0,0.0625,-450102.1045,248692.31607207068,-765830.6,-556239.25,-392933.0,-279395.75,-205641.8,491293.159375,766922,0.7593287128712871,44644.340625,0.0,44644.340625,nan,nan,1.0,371889.02115451475,10.576764822006226
Principal+Interest,1000000,25,25,800000.0,0.0625,-3497453.1802,1696129.4261479974,-5652886.1,-4253514.5,-3112395.5,-2327050.25,-1798072.9,58813.25,951012,0.9415960396039604,3686.75,0.0,3686.75,nan,nan,1.0,1352771.1313724418,9.940179824829102
Interest Only,1000000,25,30,800000.0,-0.125,-2527945.9233,1292358.616605762,-4092192.0999999996,-3028179.75,-2208616.5,-1672803.5,-1312707.3999999994,110375.821875,169447,0.16776930693069306,238061.678125,0.0,238061.678125,0.13791732891198705,0.09017174898155766,1.0,952167.1361417471,10.11312198638916
Principal+Interest,1000000,25,30,800000.0,-0.125,-4915284.6956,2631130.537926647,-8292421.0,-6054840.75,-4313078.5,-3109543.25,-2300433.6,-46392.25,381138,0.3773643564356436,-78607.75,0.0,-78607.75,0.1685894120778797,0.10319707740227746,1.0,1788891.6844865577,9.560051918029785
Interest Only,1000000,30,30,800000.0,-0.125,-4157031.6218,2442897.2737869327,-7136680.1,-5046245.5,-3509509.0,-2530646.0,-1925509.4,274154.946875,348246,0.28780661157024795,256470.053125,0.0,256470.053125,0.13229462120958257,0.08980143317707978,1.0,1335385.6735982455,11.353446960449219
Principal+Interest,1000000,30,30,800000.0,-0.125,-8063984.1058,4910530.168095943,-13921520.0,-9913814.5,-6845560.5,-4773557.0,-3505031.1999999993,-70619.125,574953,0.47516776859504134,-79380.875,0.0,-79380.875,0.15758170787512027,0.10295511905754284,1.0,2433671.7767082993,11.681504011154175
Interest Only,1100000,10,10,880000.0,0.6590909090909092,1451836.6724,581100.0563654356,825722.6,1040773.75,1342437.5,1750835.75,2200325.5000000005,366860.80781250005,409993,0.9999829268292683,14.192187500000003,161701.51534375,161715.70753125,0.10773308083657773,0.017515102710807362,0.1752,19747.195985027884,3.2699148654937744
Principal+Interest,1100000,10,10,880000.0,0.6590909090909092,927189.6534,447056.279977459,444406.10000000003,606205.0,848005.0,1148175.0,1515879.9000000001,290000.00000000006,410000,1.0,0.0,46020.15225,46020.15225,0.05311997001429747,0.0027488462010494263,0.5203,93987.85715134488,3.6341757774353027
Interest Only,1100000,10,15,880000.0,0.48863636363636365,1055090.3404,412834.37590800173,606725.0,759783.5,981612.0,1272847.75,1598726.2000000002,291862.9625,409994,0.9999853658536585,12.0375,57634.78405,57646.82155,0.09974486764041268,0.01236861288876856,0.2126,18207.589027433234,2.9562408924102783
Principal+Interest,1100000,10,15,880000.0,0.48863636363636365,523114.8051,293061.3362946719,207975.6,316233.0,468828.5,669565.25,905172.0000000003,215000.0,410000,1.0,0.0,5657.38395,5657.38395,0.02089250396416098,-0.011056144047365324,0.7258,129419.57111529591,3.0094969272613525
Interest Only,1100000,10,20,880000.0,0.31818181818181823,640862.6177,251608.2305428951,363116.0,459756.5,597959.0,773392.75,969215.1000000001,216871.74687500004,409997,0.9999926829268293,3.253125,5323.8139125,5327.0670375,0.08722637734206029,0.002764163493482963,0.3184,21778.284725333913,2.992954969406128
Principal+Interest,1100000,10,20,880000.0,0.31818181818181823,118736.9296,143942.27435635554,-31617.7,19378.25,91217.0,189191.5,304235.2,140000.00000000003,410000,1.0,0.0,34.51115,34.51115,-0.08218447552529784,-0.06930763658842132,0.9607,206887.18741913163,3.4478940963745117
Interest Only,1100000,10,25,880000.0,0.1477272727272727,231654.2084,92155.49532153558,132978.5,166179.75,214969.0,278245.25,351720.70000000007,141873.94375,409998,0.9999951219512195,1.05625,0.0,1.05625,0.05947248949059736,-0.02733968657367125,0.7321,41604.77755426515,3.1069560050964355
Principal+Interest,1100000,10,25,880000.0,0.1477272727272727,-290416.341,64307.49015621071,-375468.5,-327708.5,-283072.5,-244680.75,-214561.5,65000.0,410000,1.0,0.0,0.0,0.0,nan,nan,1.0,327929.88694212545,3.3403069972991943
Interest Only,1100000,10,30,880000.0,-0.022727272727272707,-267837.5515,82027.3232809959,-374301.7,-311874.5,-254575.5,-209498.5,-176948.9,14.553125,10043,0.02449512195121951,66860.446875,0.0,66860.446875,0.29623620362289427,1.5189055855888105,1.0,167440.00105271302,3.2392361164093018
Principal+Interest,1100000,10,30,880000.0,-0.022727272727272707,-682686.2773,192807.74603058185,-933787.9,-791735.75,-655361.0,-544463.5,-459043.0,-786.2749999999999,41451,0.1011,-9213.724999999999,0.0,-9213.724999999999,0.42337429237670365,1.5499999999998093,1.0,447155.92489959375,3.4718639850616455
Interest Only,1100000,15,15,880000.0,0.48863636363636365,1686915.6932,814982.7495228329,835448.6,1107842.0,1514737.0,2075568.5,2769081.0000000005,490628.1484375,608499,0.9975393442622951,3434.3515625,233450.82153125,236885.17309375,0.10491205335728959,0.016339226328321077,0.1422,14431.311765487353,4.420344829559326
Principal+Interest,1100000,15,15,880000.0,0.48863636363636365,615970.5358,522804.1121274849,102210.3,258662.5,497217.0,843384.75,1267721.5000000005,322455.3875,609959,0.9999327868852459,44.6125,28712.333,28756.9455,0.02736597479812297,-0.007297753058203571,0.6983,156281.38936028333,4.906516075134277
Interest Only,1100000,15,20,880000.0,0.31818181818181823,1012849.7905,484482.5383799508,502276.10000000003,664627.5,912698.0,1248774.0,1640190.5,379041.1421875,608634,0.9977606557377049,2521.3578125,53243.38758125,55764.74539375,0.09322396180306725,0.008387146969121684,0.2468,19903.63944809613,5.021093130111694
Principal+Interest,1100000,15,20,880000.0,0.31818181818181823,-51482.5802,232824.01089182863,-285853.7,-197219.5,-91660.0,47148.75,223629.30000000002,209997.55000000002,609996,0.9999934426229509,2.4500000000000006,546.6364,549.0864,nan,nan,0.9726,304751.5361374517,4.999348878860474
Interest Only,1100000,15,25,880000.0,0.1477272727272727,332439.3441,156720.60260919147,165107.4,219663.25,301273.0,408049.0,545978.7000000001,267168.721875,608668,0.997816393442623,1893.778125,98.93438125,1992.71250625,0.06461656529907445,-0.017097562412814127,0.7342,57948.89799756642,5.18995475769043
Principal+Interest,1100000,15,25,880000.0,0.1477272727272727,-723836.1288,213968.73881484373,-1002614.0,-837073.0,-691789.0,-570814.5,-484936.3,97500.0,610000,1.0,0.0,0.0,0.0,nan,nan,1.0,528243.182471304,5.25753116607666
