,,,,,,,,,,,,,,,,,,,
,Paths,100,,,,,,,,,,,,,,,,,
,Expected return,0.1,,,,,,,,,,,,,,,,,
,speed of mean reversion,0.5,,,,,,,,,,,,,,,,,
,Volatility,FORMULA: =Core!O21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Median of paths,,FORMULA: =MEDIAN(D17:D116),FORMULA: =MEDIAN(E17:E116),FORMULA: =MEDIAN(F17:F116),FORMULA: =MEDIAN(G17:G116),FORMULA: =MEDIAN(H17:H116),FORMULA: =MEDIAN(I17:I116),FORMULA: =MEDIAN(J17:J116),FORMULA: =MEDIAN(K17:K116),FORMULA: =MEDIAN(L17:L116),FORMULA: =MEDIAN(M17:M116),FORMULA: =MEDIAN(N17:N116),FORMULA: =MEDIAN(O17:O116),FORMULA: =MEDIAN(P17:P116),FORMULA: =MEDIAN(Q17:Q116),FORMULA: =MEDIAN(R17:R116),FORMULA: =MEDIAN(S17:S116),FORMULA: =MEDIAN(T17:T116)
,Average of paths,,FORMULA: =AVERAGE(D17:D116),FORMULA: =AVERAGE(E17:E116),FORMULA: =AVERAGE(F17:F116),FORMULA: =AVERAGE(G17:G116),FORMULA: =AVERAGE(H17:H116),FORMULA: =AVERAGE(I17:I116),FORMULA: =AVERAGE(J17:J116),FORMULA: =AVERAGE(K17:K116),FORMULA: =AVERAGE(L17:L116),FORMULA: =AVERAGE(M17:M116),FORMULA: =AVERAGE(N17:N116),FORMULA: =AVERAGE(O17:O116),FORMULA: =AVERAGE(P17:P116),FORMULA: =AVERAGE(Q17:Q116),FORMULA: =AVERAGE(R17:R116),FORMULA: =AVERAGE(S17:S116),FORMULA: =AVERAGE(T17:T116)
,Delta to median,,FORMULA: =D12-D7,FORMULA: =E12-E7,FORMULA: =F12-F7,FORMULA: =G12-G7,FORMULA: =H12-H7,FORMULA: =I12-I7,FORMULA: =J12-J7,FORMULA: =K12-K7,FORMULA: =L12-L7,FORMULA: =M12-M7,FORMULA: =N12-N7,FORMULA: =O12-O7,FORMULA: =P12-P7,FORMULA: =Q12-Q7,FORMULA: =R12-R7,FORMULA: =S12-S7,FORMULA: =T12-T7
,Delta to average,,FORMULA: =D12-D8,FORMULA: =E12-E8,FORMULA: =F12-F8,FORMULA: =G12-G8,FORMULA: =H12-H8,FORMULA: =I12-I8,FORMULA: =J12-J8,FORMULA: =K12-K8,FORMULA: =L12-L8,FORMULA: =M12-M8,FORMULA: =N12-N8,FORMULA: =O12-O8,FORMULA: =P12-P8,FORMULA: =Q12-Q8,FORMULA: =R12-R8,FORMULA: =S12-S8,FORMULA: =T12-T8
,,,,,,,,,,,,,,,,,,,
,Long-term mean,100,FORMULA: =C12*(1+$C$3),FORMULA: =D12*(1+$C$3),FORMULA: =E12*(1+$C$3),FORMULA: =F12*(1+$C$3),FORMULA: =G12*(1+$C$3),FORMULA: =H12*(1+$C$3),FORMULA: =I12*(1+$C$3),FORMULA: =J12*(1+$C$3),FORMULA: =K12*(1+$C$3),FORMULA: =L12*(1+$C$3),FORMULA: =M12*(1+$C$3),FORMULA: =N12*(1+$C$3),FORMULA: =O12*(1+$C$3),FORMULA: =P12*(1+$C$3),FORMULA: =Q12*(1+$C$3),FORMULA: =R12*(1+$C$3),FORMULA: =S12*(1+$C$3)
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Implied return,,FORMULA: =D16/C16-1,FORMULA: =E16/D16-1,FORMULA: =F16/E16-1,FORMULA: =G16/F16-1,FORMULA: =H16/G16-1,FORMULA: =I16/H16-1,FORMULA: =J16/I16-1,FORMULA: =K16/J16-1,FORMULA: =L16/K16-1,FORMULA: =M16/L16-1,FORMULA: =N16/M16-1,FORMULA: =O16/N16-1,FORMULA: =P16/O16-1,FORMULA: =Q16/P16-1,FORMULA: =R16/Q16-1,FORMULA: =S16/R16-1,FORMULA: =T16/S16-1
