,,,,,,,,,,,,,,,,,,,
,FutureProof,,,,,,,,,,,,,,,,,,
,Mini Model,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Key Assumptions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,HOMEOWNER VARIABLES,,,,,,FUTUREPROOF VARIABLES,,,,,,,,,,,,
,,,,,,,,,,2,1,2,,,,,,,
,Home Value,,2000000,,,,,,,"FORMULA: =OFFSET($K$9,0,K8)",Fixed,Stochastic,,,,,,,
,,,,,,,Cash Rate,,,,0.036,0.044,,,,,,,
,LVR,,0.8,,,,,,,,,Mean Reversion,,,,,,,
,Max Loan,,FORMULA: =D9*D11,,,,Wholesale Margin,,,0.03,,,,,,,,,
,,,,,,,Retail Margin,,,0.0075,,,,,,,,,
,,,2,1,2,,Hedging,,,0.005,,,,,,,,,
,Initial Loan,,"FORMULA: =OFFSET($D$15,0,D14)",FORMULA: =D12,FORMULA: =D12-D18*D19,,FP Margin,,,0.0025,,,,,,,,,
,,,,,,,Variable costs,,,FORMULA: =SUM(K10:K15),,,,,,,,,
,Tenure of EPM,,30,years,,,LMI Upfront Insurance,,,0.0025,,,,,,,,,
,Annuity,,30000,FORMULA: =D18/D9,,,,,,,,,,,,,,,
,Annuity term,,10,years,,,,,,4,1,2,3,4,,,,,
,,,,,,,ETF investment return,,,"FORMULA: =OFFSET($K$20,0,K19)",Fixed,Hardcode,Stochastic,Brownian,,,,,
,,,,,,,(NB Mean Reversion Method Needed for ETF),,,,0.1,,0.12,0.12,,,,,
,,,,,,,,,,,,,Volatility,Volatility,,,,,
,,,,,,,,,,,,,,,,,,,
,Year ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,,,
,Loan from Funder,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Opening,0,FORMULA: =C32,FORMULA: =D32,FORMULA: =E32,FORMULA: =F32,FORMULA: =G32,FORMULA: =H32,FORMULA: =I32,FORMULA: =J32,FORMULA: =K32,FORMULA: =L32,FORMULA: =M32,FORMULA: =N32,FORMULA: =O32,FORMULA: =P32,FORMULA: =Q32,FORMULA: =R32,FORMULA: =S32
,Drawdown day 1,FORMULA: =D15,,,,,,,,,,,,,,,,,
,Drawdown for annuity,,"FORMULA: =IF(D28<$D$12,MIN($D$18,$D$12-D28))*(D24<=$D$19)","FORMULA: =IF(E28<$D$12,MIN($D$18,$D$12-E28))*(E24<=$D$19)","FORMULA: =IF(F28<$D$12,MIN($D$18,$D$12-F28))*(F24<=$D$19)","FORMULA: =IF(G28<$D$12,MIN($D$18,$D$12-G28))*(G24<=$D$19)","FORMULA: =IF(H28<$D$12,MIN($D$18,$D$12-H28))*(H24<=$D$19)","FORMULA: =IF(I28<$D$12,MIN($D$18,$D$12-I28))*(I24<=$D$19)","FORMULA: =IF(J28<$D$12,MIN($D$18,$D$12-J28))*(J24<=$D$19)","FORMULA: =IF(K28<$D$12,MIN($D$18,$D$12-K28))*(K24<=$D$19)","FORMULA: =IF(L28<$D$12,MIN($D$18,$D$12-L28))*(L24<=$D$19)","FORMULA: =IF(M28<$D$12,MIN($D$18,$D$12-M28))*(M24<=$D$19)","FORMULA: =IF(N28<$D$12,MIN($D$18,$D$12-N28))*(N24<=$D$19)","FORMULA: =IF(O28<$D$12,MIN($D$18,$D$12-O28))*(O24<=$D$19)","FORMULA: =IF(P28<$D$12,MIN($D$18,$D$12-P28))*(P24<=$D$19)","FORMULA: =IF(Q28<$D$12,MIN($D$18,$D$12-Q28))*(Q24<=$D$19)","FORMULA: =IF(R28<$D$12,MIN($D$18,$D$12-R28))*(R24<=$D$19)","FORMULA: =IF(S28<$D$12,MIN($D$18,$D$12-S28))*(S24<=$D$19)","FORMULA: =IF(T28<$D$12,MIN($D$18,$D$12-T28))*(T24<=$D$19)"
,Repayment,FORMULA: =(C24=$D$17)*-SUM(C28:C30),FORMULA: =(D24=$D$17)*-SUM(D28:D30),FORMULA: =(E24=$D$17)*-SUM(E28:E30),FORMULA: =(F24=$D$17)*-SUM(F28:F30),FORMULA: =(G24=$D$17)*-SUM(G28:G30),FORMULA: =(H24=$D$17)*-SUM(H28:H30),FORMULA: =(I24=$D$17)*-SUM(I28:I30),FORMULA: =(J24=$D$17)*-SUM(J28:J30),FORMULA: =(K24=$D$17)*-SUM(K28:K30),FORMULA: =(L24=$D$17)*-SUM(L28:L30),FORMULA: =(M24=$D$17)*-SUM(M28:M30),FORMULA: =(N24=$D$17)*-SUM(N28:N30),FORMULA: =(O24=$D$17)*-SUM(O28:O30),FORMULA: =(P24=$D$17)*-SUM(P28:P30),FORMULA: =(Q24=$D$17)*-SUM(Q28:Q30),FORMULA: =(R24=$D$17)*-SUM(R28:R30),FORMULA: =(S24=$D$17)*-SUM(S28:S30),FORMULA: =(T24=$D$17)*-SUM(T28:T30)
