Rust Profitability Sweep Started: 2025-10-11 09:23:30.869192
Parameters: 100,000 paths per scenario
Method: Optimized integrated path generation
Cash Rate: 3.1% (historical average)
Interest Rate Bug Fix: Applied (correct quarterly calculation)
================================================================================

[2025-10-11 09:23:30] Starting Rust profitability sweep with 100,000 Monte Carlo paths
[2025-10-11 09:23:30] Total combinations to test: 2,730
[2025-10-11 09:23:30] Using optimized integrated path generation 🚀
[2025-10-11 09:23:36] Progress: 10/2730 (0.4%) | Rate: 1.68 sims/sec | ETA: 26.9 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.59s)
[2025-10-11 09:23:45] Progress: 20/2730 (0.7%) | Rate: 1.32 sims/sec | ETA: 34.1 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.12s)
[2025-10-11 09:23:59] Progress: 30/2730 (1.1%) | Rate: 1.04 sims/sec | ETA: 43.1 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:24:05] Progress: 40/2730 (1.5%) | Rate: 1.16 sims/sec | ETA: 38.6 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.57s)
[2025-10-11 09:24:14] Progress: 50/2730 (1.8%) | Rate: 1.14 sims/sec | ETA: 39.0 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:24:27] Progress: 60/2730 (2.2%) | Rate: 1.05 sims/sec | ETA: 42.3 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.64s)
[2025-10-11 09:24:33] Progress: 70/2730 (2.6%) | Rate: 1.12 sims/sec | ETA: 39.7 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.57s)
[2025-10-11 09:24:42] Progress: 80/2730 (2.9%) | Rate: 1.12 sims/sec | ETA: 39.5 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.12s)
[2025-10-11 09:24:56] Progress: 90/2730 (3.3%) | Rate: 1.06 sims/sec | ETA: 41.7 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.70s)
[2025-10-11 09:25:01] Progress: 100/2730 (3.7%) | Rate: 1.10 sims/sec | ETA: 39.9 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.59s)
[2025-10-11 09:25:10] Progress: 110/2730 (4.0%) | Rate: 1.10 sims/sec | ETA: 39.7 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 1.11s)
[2025-10-11 09:25:24] Progress: 120/2730 (4.4%) | Rate: 1.06 sims/sec | ETA: 41.2 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.66s)
[2025-10-11 09:25:30] Progress: 130/2730 (4.8%) | Rate: 1.09 sims/sec | ETA: 39.8 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.59s)
