Rust Profitability Sweep Started: 2025-10-11 10:26:20.826866
Parameters: 1,000,000 paths per scenario
Method: Optimized integrated path generation
Cash Rate: 3.1% (historical average)
Interest Rate Bug Fix: Applied (correct quarterly calculation)
================================================================================

[2025-10-11 10:26:20] Starting Rust profitability sweep with 1,000,000 Monte Carlo paths
[2025-10-11 10:26:20] Total combinations to test: 2,730
[2025-10-11 10:26:20] Using optimized integrated path generation 🚀
[2025-10-11 10:27:15] Progress: 10/2730 (0.4%) | Rate: 0.18 sims/sec | ETA: 247.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.46s)
[2025-10-11 10:28:43] Progress: 20/2730 (0.7%) | Rate: 0.14 sims/sec | ETA: 321.4 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.98s)
[2025-10-11 10:30:54] Progress: 30/2730 (1.1%) | Rate: 0.11 sims/sec | ETA: 410.7 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.30s)
[2025-10-11 10:31:49] Progress: 40/2730 (1.5%) | Rate: 0.12 sims/sec | ETA: 368.9 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.58s)
[2025-10-11 10:33:18] Progress: 50/2730 (1.8%) | Rate: 0.12 sims/sec | ETA: 373.0 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.80s)
[2025-10-11 10:35:29] Progress: 60/2730 (2.2%) | Rate: 0.11 sims/sec | ETA: 407.1 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.24s)
[2025-10-11 10:36:24] Progress: 70/2730 (2.6%) | Rate: 0.12 sims/sec | ETA: 382.6 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.49s)
[2025-10-11 10:37:52] Progress: 80/2730 (2.9%) | Rate: 0.12 sims/sec | ETA: 381.9 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.63s)
[2025-10-11 10:39:58] Progress: 90/2730 (3.3%) | Rate: 0.11 sims/sec | ETA: 399.9 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.56s)
[2025-10-11 10:40:51] Progress: 100/2730 (3.7%) | Rate: 0.11 sims/sec | ETA: 381.6 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.12s)
[2025-10-11 10:42:13] Progress: 110/2730 (4.0%) | Rate: 0.12 sims/sec | ETA: 378.3 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.05s)
[2025-10-11 10:44:15] Progress: 120/2730 (4.4%) | Rate: 0.11 sims/sec | ETA: 389.6 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.01s)
[2025-10-11 10:45:07] Progress: 130/2730 (4.8%) | Rate: 0.12 sims/sec | ETA: 375.4 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.10s)
[2025-10-11 10:46:28] Progress: 140/2730 (5.1%) | Rate: 0.12 sims/sec | ETA: 372.2 min | Last: Principal+Interest HV=$1,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.10s)
[2025-10-11 10:48:30] Progress: 150/2730 (5.5%) | Rate: 0.11 sims/sec | ETA: 381.0 min | Last: Principal+Interest HV=$1,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.31s)
[2025-10-11 10:49:25] Progress: 160/2730 (5.9%) | Rate: 0.12 sims/sec | ETA: 370.6 min | Last: Principal+Interest HV=$1,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.09s)
[2025-10-11 10:50:47] Progress: 170/2730 (6.2%) | Rate: 0.12 sims/sec | ETA: 368.0 min | Last: Principal+Interest HV=$1,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.15s)
[2025-10-11 10:52:50] Progress: 180/2730 (6.6%) | Rate: 0.11 sims/sec | ETA: 375.2 min | Last: Principal+Interest HV=$1,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.16s)
[2025-10-11 10:53:41] Progress: 190/2730 (7.0%) | Rate: 0.12 sims/sec | ETA: 365.6 min | Last: Principal+Interest HV=$1,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.11s)
[2025-10-11 10:55:02] Progress: 200/2730 (7.3%) | Rate: 0.12 sims/sec | ETA: 363.0 min | Last: Principal+Interest HV=$1,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.24s)
[2025-10-11 10:57:05] Progress: 210/2730 (7.7%) | Rate: 0.11 sims/sec | ETA: 369.0 min | Last: Principal+Interest HV=$1,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.43s)
[2025-10-11 10:57:57] Progress: 220/2730 (8.1%) | Rate: 0.12 sims/sec | ETA: 360.6 min | Last: Principal+Interest HV=$1,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.21s)
[2025-10-11 10:59:18] Progress: 230/2730 (8.4%) | Rate: 0.12 sims/sec | ETA: 358.2 min | Last: Principal+Interest HV=$1,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.08s)
[2025-10-11 11:01:20] Progress: 240/2730 (8.8%) | Rate: 0.11 sims/sec | ETA: 363.0 min | Last: Principal+Interest HV=$1,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 14.99s)
[2025-10-11 11:02:11] Progress: 250/2730 (9.2%) | Rate: 0.12 sims/sec | ETA: 355.7 min | Last: Principal+Interest HV=$1,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.05s)
[2025-10-11 11:03:32] Progress: 260/2730 (9.5%) | Rate: 0.12 sims/sec | ETA: 353.4 min | Last: Principal+Interest HV=$1,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.11s)
[2025-10-11 11:05:33] Progress: 270/2730 (9.9%) | Rate: 0.11 sims/sec | ETA: 357.3 min | Last: Principal+Interest HV=$1,800,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.03s)
[2025-10-11 11:06:24] Progress: 280/2730 (10.3%) | Rate: 0.12 sims/sec | ETA: 350.6 min | Last: Principal+Interest HV=$1,900,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.06s)
[2025-10-11 11:07:45] Progress: 290/2730 (10.6%) | Rate: 0.12 sims/sec | ETA: 348.4 min | Last: Principal+Interest HV=$1,900,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.07s)
[2025-10-11 11:09:47] Progress: 300/2730 (11.0%) | Rate: 0.12 sims/sec | ETA: 351.9 min | Last: Principal+Interest HV=$1,900,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.08s)
[2025-10-11 11:10:38] Progress: 310/2730 (11.4%) | Rate: 0.12 sims/sec | ETA: 345.8 min | Last: Principal+Interest HV=$2,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.11s)
[2025-10-11 11:11:59] Progress: 320/2730 (11.7%) | Rate: 0.12 sims/sec | ETA: 343.8 min | Last: Principal+Interest HV=$2,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.10s)
[2025-10-11 11:14:01] Progress: 330/2730 (12.1%) | Rate: 0.12 sims/sec | ETA: 346.7 min | Last: Principal+Interest HV=$2,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.07s)
[2025-10-11 11:14:52] Progress: 340/2730 (12.5%) | Rate: 0.12 sims/sec | ETA: 341.1 min | Last: Principal+Interest HV=$2,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.24s)
[2025-10-11 11:16:13] Progress: 350/2730 (12.8%) | Rate: 0.12 sims/sec | ETA: 339.2 min | Last: Principal+Interest HV=$2,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.01s)
[2025-10-11 11:18:15] Progress: 360/2730 (13.2%) | Rate: 0.12 sims/sec | ETA: 341.7 min | Last: Principal+Interest HV=$2,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.36s)
[2025-10-11 11:19:06] Progress: 370/2730 (13.6%) | Rate: 0.12 sims/sec | ETA: 336.5 min | Last: Principal+Interest HV=$2,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.21s)
[2025-10-11 11:20:28] Progress: 380/2730 (13.9%) | Rate: 0.12 sims/sec | ETA: 334.7 min | Last: Principal+Interest HV=$2,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.37s)
[2025-10-11 11:22:49] Progress: 390/2730 (14.3%) | Rate: 0.12 sims/sec | ETA: 338.8 min | Last: Principal+Interest HV=$2,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.85s)
[2025-10-11 11:23:50] Progress: 400/2730 (14.7%) | Rate: 0.12 sims/sec | ETA: 334.9 min | Last: Principal+Interest HV=$2,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.89s)
[2025-10-11 11:25:23] Progress: 410/2730 (15.0%) | Rate: 0.12 sims/sec | ETA: 334.1 min | Last: Principal+Interest HV=$2,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 11.20s)
[2025-10-11 11:27:34] Progress: 420/2730 (15.4%) | Rate: 0.11 sims/sec | ETA: 336.8 min | Last: Principal+Interest HV=$2,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.84s)
[2025-10-11 11:28:27] Progress: 430/2730 (15.8%) | Rate: 0.12 sims/sec | ETA: 332.3 min | Last: Principal+Interest HV=$2,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.41s)
[2025-10-11 11:29:49] Progress: 440/2730 (16.1%) | Rate: 0.12 sims/sec | ETA: 330.4 min | Last: Principal+Interest HV=$2,400,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.12s)
[2025-10-11 11:31:51] Progress: 450/2730 (16.5%) | Rate: 0.11 sims/sec | ETA: 331.9 min | Last: Principal+Interest HV=$2,400,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.33s)
[2025-10-11 11:32:43] Progress: 460/2730 (16.8%) | Rate: 0.12 sims/sec | ETA: 327.6 min | Last: Principal+Interest HV=$2,500,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.09s)
[2025-10-11 11:34:04] Progress: 470/2730 (17.2%) | Rate: 0.12 sims/sec | ETA: 325.7 min | Last: Principal+Interest HV=$2,500,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.06s)
[2025-10-11 11:36:18] Progress: 480/2730 (17.6%) | Rate: 0.11 sims/sec | ETA: 328.0 min | Last: Principal+Interest HV=$2,500,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.09s)
[2025-10-11 11:37:15] Progress: 490/2730 (17.9%) | Rate: 0.12 sims/sec | ETA: 324.2 min | Last: Principal+Interest HV=$2,600,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.36s)
[2025-10-11 11:38:45] Progress: 500/2730 (18.3%) | Rate: 0.12 sims/sec | ETA: 323.0 min | Last: Principal+Interest HV=$2,600,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 11.08s)
[2025-10-11 11:40:59] Progress: 510/2730 (18.7%) | Rate: 0.11 sims/sec | ETA: 324.9 min | Last: Principal+Interest HV=$2,600,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 15.76s)
[2025-10-11 11:41:52] Progress: 520/2730 (19.0%) | Rate: 0.11 sims/sec | ETA: 321.0 min | Last: Principal+Interest HV=$2,700,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.27s)
[2025-10-11 11:43:14] Progress: 530/2730 (19.4%) | Rate: 0.11 sims/sec | ETA: 319.2 min | Last: Principal+Interest HV=$2,700,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.06s)
[2025-10-11 11:45:24] Progress: 540/2730 (19.8%) | Rate: 0.11 sims/sec | ETA: 320.7 min | Last: Principal+Interest HV=$2,700,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 16.52s)
[2025-10-11 11:46:19] Progress: 550/2730 (20.1%) | Rate: 0.11 sims/sec | ETA: 317.0 min | Last: Principal+Interest HV=$2,800,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 5.43s)
[2025-10-11 11:47:47] Progress: 560/2730 (20.5%) | Rate: 0.11 sims/sec | ETA: 315.6 min | Last: Principal+Interest HV=$2,800,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 10.41s)
