Optimized Rust-Powered Profitability Sweep Started: 2025-10-10 15:04:20.491337
Parameters: 100,000 paths per scenario
Method: Integrated path generation (7-8x faster, no memory overhead)
================================================================================

[2025-10-10 15:04:20] Starting OPTIMIZED RUST profitability sweep with 100,000 Monte Carlo paths
[2025-10-10 15:04:20] Total combinations to test: 2,730
[2025-10-10 15:04:20] Using integrated path generation (7-8x faster!) 🚀
[2025-10-10 15:04:25] Progress: 10/2730 (0.4%) | Rate: 1.87 sims/sec | ETA: 24.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.53s)
[2025-10-10 15:04:34] Progress: 20/2730 (0.7%) | Rate: 1.44 sims/sec | ETA: 31.3 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.06s)
[2025-10-10 15:04:47] Progress: 30/2730 (1.1%) | Rate: 1.12 sims/sec | ETA: 40.1 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.58s)
[2025-10-10 15:04:52] Progress: 40/2730 (1.5%) | Rate: 1.24 sims/sec | ETA: 36.2 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:05:02] Progress: 50/2730 (1.8%) | Rate: 1.20 sims/sec | ETA: 37.2 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:05:15] Progress: 60/2730 (2.2%) | Rate: 1.09 sims/sec | ETA: 40.8 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
[2025-10-10 15:05:21] Progress: 70/2730 (2.6%) | Rate: 1.15 sims/sec | ETA: 38.4 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:05:30] Progress: 80/2730 (2.9%) | Rate: 1.15 sims/sec | ETA: 38.4 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.13s)
[2025-10-10 15:05:43] Progress: 90/2730 (3.3%) | Rate: 1.08 sims/sec | ETA: 40.6 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.72s)
[2025-10-10 15:05:49] Progress: 100/2730 (3.7%) | Rate: 1.13 sims/sec | ETA: 38.8 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:05:57] Progress: 110/2730 (4.0%) | Rate: 1.13 sims/sec | ETA: 38.7 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:06:11] Progress: 120/2730 (4.4%) | Rate: 1.08 sims/sec | ETA: 40.2 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.63s)
[2025-10-10 15:06:16] Progress: 130/2730 (4.8%) | Rate: 1.12 sims/sec | ETA: 38.8 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:06:26] Progress: 140/2730 (5.1%) | Rate: 1.11 sims/sec | ETA: 39.0 min | Last: Principal+Interest HV=$1,400,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.30s)
[2025-10-10 15:06:40] Progress: 150/2730 (5.5%) | Rate: 1.07 sims/sec | ETA: 40.1 min | Last: Principal+Interest HV=$1,400,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.68s)
[2025-10-10 15:06:46] Progress: 160/2730 (5.9%) | Rate: 1.10 sims/sec | ETA: 39.0 min | Last: Principal+Interest HV=$1,500,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.57s)
[2025-10-10 15:06:54] Progress: 170/2730 (6.2%) | Rate: 1.10 sims/sec | ETA: 38.8 min | Last: Principal+Interest HV=$1,500,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.10s)
[2025-10-10 15:07:08] Progress: 180/2730 (6.6%) | Rate: 1.07 sims/sec | ETA: 39.6 min | Last: Principal+Interest HV=$1,500,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.65s)
[2025-10-10 15:07:13] Progress: 190/2730 (7.0%) | Rate: 1.10 sims/sec | ETA: 38.6 min | Last: Principal+Interest HV=$1,600,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:07:22] Progress: 200/2730 (7.3%) | Rate: 1.10 sims/sec | ETA: 38.4 min | Last: Principal+Interest HV=$1,600,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.14s)
[2025-10-10 15:07:35] Progress: 210/2730 (7.7%) | Rate: 1.08 sims/sec | ETA: 39.0 min | Last: Principal+Interest HV=$1,600,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.61s)
[2025-10-10 15:07:41] Progress: 220/2730 (8.1%) | Rate: 1.10 sims/sec | ETA: 38.2 min | Last: Principal+Interest HV=$1,700,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.54s)
[2025-10-10 15:07:49] Progress: 230/2730 (8.4%) | Rate: 1.10 sims/sec | ETA: 38.0 min | Last: Principal+Interest HV=$1,700,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.20s)
[2025-10-10 15:08:03] Progress: 240/2730 (8.8%) | Rate: 1.08 sims/sec | ETA: 38.6 min | Last: Principal+Interest HV=$1,700,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.71s)
[2025-10-10 15:08:09] Progress: 250/2730 (9.2%) | Rate: 1.09 sims/sec | ETA: 37.8 min | Last: Principal+Interest HV=$1,800,000 LD=10y AD=30y XIRR=N/A (⚡ Optimized: 0.55s)
[2025-10-10 15:08:18] Progress: 260/2730 (9.5%) | Rate: 1.09 sims/sec | ETA: 37.6 min | Last: Principal+Interest HV=$1,800,000 LD=20y AD=20y XIRR=N/A (⚡ Optimized: 1.11s)
[2025-10-10 15:08:31] Progress: 270/2730 (9.9%) | Rate: 1.08 sims/sec | ETA: 38.1 min | Last: Principal+Interest HV=$1,800,000 LD=30y AD=30y XIRR=N/A (⚡ Optimized: 1.66s)
