Rust-Powered Profitability Sweep Started: 2025-10-10 13:00:14.406490
Parameters: 10,000 paths per scenario
================================================================================

[2025-10-10 13:00:14] Starting RUST-POWERED profitability sweep with 10,000 Monte Carlo paths
[2025-10-10 13:00:14] Total combinations to test: 2,730
[2025-10-10 13:00:14] Estimated time: Much faster than Python! 🚀
[2025-10-10 13:00:17] Progress: 10/2730 (0.4%) | Rate: 2.80 sims/sec | ETA: 16.2 min | Last: Principal+Interest HV=$1,000,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.35s)
[2025-10-10 13:00:23] Progress: 20/2730 (0.7%) | Rate: 2.12 sims/sec | ETA: 21.3 min | Last: Principal+Interest HV=$1,000,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 0.87s)
[2025-10-10 13:00:33] Progress: 30/2730 (1.1%) | Rate: 1.60 sims/sec | ETA: 28.1 min | Last: Principal+Interest HV=$1,000,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.38s)
[2025-10-10 13:00:36] Progress: 40/2730 (1.5%) | Rate: 1.79 sims/sec | ETA: 25.0 min | Last: Principal+Interest HV=$1,100,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.33s)
[2025-10-10 13:00:42] Progress: 50/2730 (1.8%) | Rate: 1.81 sims/sec | ETA: 24.7 min | Last: Principal+Interest HV=$1,100,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 0.67s)
[2025-10-10 13:00:52] Progress: 60/2730 (2.2%) | Rate: 1.57 sims/sec | ETA: 28.3 min | Last: Principal+Interest HV=$1,100,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.73s)
[2025-10-10 13:00:56] Progress: 70/2730 (2.6%) | Rate: 1.66 sims/sec | ETA: 26.7 min | Last: Principal+Interest HV=$1,200,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.60s)
[2025-10-10 13:01:02] Progress: 80/2730 (2.9%) | Rate: 1.66 sims/sec | ETA: 26.7 min | Last: Principal+Interest HV=$1,200,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 0.79s)
[2025-10-10 13:01:12] Progress: 90/2730 (3.3%) | Rate: 1.56 sims/sec | ETA: 28.3 min | Last: Principal+Interest HV=$1,200,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.42s)
[2025-10-10 13:01:15] Progress: 100/2730 (3.7%) | Rate: 1.63 sims/sec | ETA: 27.0 min | Last: Principal+Interest HV=$1,300,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.34s)
[2025-10-10 13:01:21] Progress: 110/2730 (4.0%) | Rate: 1.63 sims/sec | ETA: 26.7 min | Last: Principal+Interest HV=$1,300,000 LD=20y AD=20y XIRR=N/A (⚡ Rust: 0.77s)
[2025-10-10 13:01:31] Progress: 120/2730 (4.4%) | Rate: 1.55 sims/sec | ETA: 28.0 min | Last: Principal+Interest HV=$1,300,000 LD=30y AD=30y XIRR=N/A (⚡ Rust: 1.25s)
[2025-10-10 13:01:35] Progress: 130/2730 (4.8%) | Rate: 1.59 sims/sec | ETA: 27.2 min | Last: Principal+Interest HV=$1,400,000 LD=10y AD=30y XIRR=N/A (⚡ Rust: 0.45s)
