loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,-14092017.13500858,527518.3143073274,-14563123.461355044,-14281850.845030539,-13979923.51365979,-13745335.95109513,-13623479.193074182,444848.814375,26440.0,0.661,0.0,0.0,0.0,nan,,1.0,11191324.967369508,0.005898952484130859
Principal+Interest,1000000,10,10,800000.0,0.8125,-18330830.1691095,900842.9264420676,-19421833.800164934,-18772165.567849647,-18176915.1764379,-17725247.85749758,-17347624.67994518,419157.69625,29977.0,0.749425,0.0,0.0,0.0,nan,,1.0,14296008.754398417,0.005920886993408203
Interest Only,1000000,10,15,800000.0,0.71875,-14668672.701365283,504213.618602816,-15080892.003406368,-14835992.444078978,-14560351.495867947,-14349157.60927627,-14235829.182529384,398464.340625,26300.0,0.6575,0.0,0.0,0.0,nan,,1.0,11526817.93626726,0.0065670013427734375
Principal+Interest,1000000,10,15,800000.0,0.71875,-18934138.132998846,882853.7172131703,-19993296.509947695,-19363838.23216545,-18784477.458972543,-18338353.015381232,-17977146.06700775,369697.686875,29755.0,0.743875,0.0,0.0,0.0,nan,,1.0,14648875.704484852,0.006192922592163086
Interest Only,1000000,10,20,800000.0,0.625,-15243393.74765359,484110.71522545017,-15601632.269772187,-15383601.467391226,-15142203.320310995,-14963972.357721897,-14848051.072258344,352417.44625,26205.0,0.655125,0.0,0.0,0.0,nan,,1.0,11861134.106587034,0.0078012943267822266
Principal+Interest,1000000,10,20,800000.0,0.625,-19531993.40280457,865937.5698790972,-20548866.673845053,-19951157.18873858,-19394374.975503415,-18948425.56303495,-18606711.5564082,320510.8115625,29517.0,0.737925,0.0,0.0,0.0,nan,,1.0,14997925.794688676,0.007870912551879883
Interest Only,1000000,10,25,800000.0,0.53125,-15815701.297422932,462209.4995814325,-16126454.51715753,-15926129.314944059,-15718118.417161372,-15562872.117735682,-15460902.251956867,306641.7925,26118.0,0.65295,0.0,0.0,0.0,nan,,1.0,12193871.631124806,0.0073239803314208984
Principal+Interest,1000000,10,25,800000.0,0.53125,-20125784.1638948,844795.9066955781,-21101844.66866931,-20532298.791716926,-19991300.76724025,-19554081.28110933,-19217043.749559935,271829.64374999993,29276.0,0.7319,0.0,0.0,0.0,nan,,1.0,15344353.37534844,0.007098197937011719
Interest Only,1000000,10,30,800000.0,0.4375,-16385851.217254184,442282.7319777079,-16659939.572866635,-16467632.352429274,-16290370.050988521,-16159204.57461965,-16073330.391034435,261144.314375,26026.0,0.65065,0.0,0.0,0.0,nan,,1.0,12525224.17050177,0.00838327407836914
Principal+Interest,1000000,10,30,800000.0,0.4375,-20716286.272194058,822913.791008631,-21646693.73418354,-21104409.6374476,-20585334.64595712,-20169764.2680283,-19833718.048943035,223575.5715625,29081.0,0.727025,0.0,0.0,0.0,nan,,1.0,15688672.251271887,0.007361650466918945
Interest Only,1000000,15,15,800000.0,0.71875,-59053053.265744194,1979242.1659074093,-60443959.389957085,-59421680.526182905,-58625137.09980421,-58009013.85464953,-57580909.177608036,675736.681875,46122.0,0.7687,0.0,0.0,0.0,nan,,1.0,38147372.3200712,0.008881807327270508
Principal+Interest,1000000,15,15,800000.0,0.71875,-68879808.62667045,2707083.286058726,-71567768.32073176,-69892622.25072837,-68430780.01626804,-67188027.1961586,-66293998.475713715,570368.6871875,48005.0,0.8000833333333334,0.0,0.0,0.0,nan,,1.0,44296992.16402574,0.009825944900512695
Interest Only,1000000,15,20,800000.0,0.625,-60725134.44673127,1940325.1795016234,-62090300.17130132,-61007315.45948301,-60317358.720850885,-59752745.42775993,-59373465.93189417,602826.4946875,46066.0,0.7677666666666667,0.0,0.0,0.0,nan,,1.0,39111542.53939621,0.010442018508911133
Principal+Interest,1000000,15,20,800000.0,0.625,-70594305.47810109,2664325.0563435666,-73129884.4914299,-71537773.30273813,-70153852.08254465,-68967984.2107495,-68107776.05616087,495700.9565625,47879.0,0.7979833333333334,0.0,0.0,0.0,nan,,1.0,45286882.171610914,0.009860754013061523
Interest Only,1000000,15,25,800000.0,0.53125,-62393952.72896489,1911950.353291643,-63618465.988240875,-62584062.41058473,-61998495.020496055,-61496580.5335847,-61166170.11307883,530086.443125,46007.0,0.7667833333333334,0.0,0.0,0.0,nan,,1.0,40073756.31806199,0.010417938232421875
Principal+Interest,1000000,15,25,800000.0,0.53125,-72300957.32493952,2615970.2516113822,-74714147.1526453,-73183099.57571208,-71869396.5277969,-70737431.73240852,-69928434.16201386,421202.9281249999,47749.0,0.7958166666666666,0.0,0.0,0.0,nan,,1.0,46271916.88537859,0.007990121841430664
Interest Only,1000000,15,30,800000.0,0.4375,-64059364.23274553,1893059.1273004243,-65129373.98959917,-64152238.38017119,-63658006.02365857,-63238768.478007056,-62957249.90577836,457501.1515625,45938.0,0.7656333333333334,0.0,0.0,0.0,nan,,1.0,41033912.9132767,0.008090972900390625
Principal+Interest,1000000,15,30,800000.0,0.4375,-73997861.35247657,2567811.972636747,-76278959.45930116,-74809869.97866724,-73574879.18988308,-72508780.97547567,-71719860.68510814,347103.4796875,47640.0,0.794,0.0,0.0,0.0,nan,,1.0,47251037.3951991,0.008349895477294922
Interest Only,1000000,20,20,800000.0,0.625,-208488485.14092532,7585740.87802813,-213434015.11761245,-208807413.5327896,-206759880.46401337,-205050787.63969252,-203888469.44870535,881362.0096875,66004.0,0.82505,0.0,0.0,0.0,nan,,1.0,113966376.55695182,0.010939836502075195
Principal+Interest,1000000,20,20,800000.0,0.625,-232423227.6170141,9178218.045821544,-239563452.9915877,-234479237.20426846,-230575412.04852763,-227426520.48263934,-225232731.69171575,676122.1675,67263.0,0.8407875,0.0,0.0,0.0,nan,,1.0,126852293.56409383,0.011262178421020508
Interest Only,1000000,20,25,800000.0,0.53125,-213376634.76788542,7590483.752843301,-218098196.87697995,-213371493.28134993,-211627003.94959986,-210128576.229407,-209123678.80033216,781344.915,65949.0,0.8243625,0.0,0.0,0.0,nan,,1.0,116525765.83668154,0.012774944305419922
Principal+Interest,1000000,20,25,800000.0,0.53125,-237393128.61619154,9124337.995555548,-244323447.76351032,-239307249.66875815,-235535716.8981099,-232606048.7465282,-230504301.6102232,574856.3165624999,67160.0,0.8395,0.0,0.0,0.0,nan,,1.0,129455398.46838664,0.011198997497558594
Interest Only,1000000,20,30,800000.0,0.4375,-218250087.62275293,7605515.1973068975,-222419191.86313143,-217953965.97985047,-216485510.10112292,-215209642.49197865,-214367462.57092646,681525.581875,65902.0,0.823775,0.0,0.0,0.0,nan,,1.0,119077281.66666988,0.01161503791809082
Principal+Interest,1000000,20,30,800000.0,0.4375,-242337024.44409832,9079588.700345779,-248945324.51270756,-243955640.01525286,-240525489.7362261,-237688848.2128114,-235742448.5410885,473936.8278125,67096.0,0.8387,0.0,0.0,0.0,nan,,1.0,132044569.77746478,0.010307073593139648
Interest Only,1000000,25,25,800000.0,0.53125,-676937427.5216336,26943964.765592825,-692392502.0176283,-675644646.8211019,-670466082.5680902,-665871469.852325,-662868756.9845496,1060233.430625,85932.0,0.85932,0.0,0.0,0.0,nan,,1.0,316252315.4435508,0.013365030288696289
Principal+Interest,1000000,25,25,800000.0,0.53125,-737541184.549714,30759840.52378454,-759365585.3540376,-741288587.1653676,-731212281.7143127,-722701480.2387364,-716836100.7078843,730051.1684374999,86856.0,0.86856,0.0,0.0,0.0,nan,,1.0,344349339.1382161,0.013653039932250977
Interest Only,1000000,25,30,800000.0,0.4375,-691217467.8357351,27103209.93965228,-705485988.4107336,-689041677.0681946,-684698541.6260008,-680707487.2225685,-678203971.5196575,933067.339375,85906.0,0.85906,0.0,0.0,0.0,nan,,1.0,322814832.55235523,0.013412952423095703
Principal+Interest,1000000,25,30,800000.0,0.4375,-751976053.700399,30788589.308960836,-771832968.2632017,-755030116.9503369,-745649380.665375,-737691100.1937535,-732194843.4258484,602048.4515625,86786.0,0.86786,0.0,0.0,0.0,nan,,1.0,350983640.98547196,0.014503955841064453
Interest Only,1000000,30,30,800000.0,0.4375,-2091429732.98333,83615869.32757737,-2139630970.5191844,-2082938382.2628078,-2069697783.836194,-2057758189.267187,-2050357733.2139225,1212018.498125,105895.0,0.8824583333333333,0.0,0.0,0.0,nan,,1.0,837543858.2526267,0.017247915267944336
Principal+Interest,1000000,30,30,800000.0,0.4375,-2249404182.8984294,93213415.26007007,-2312765752.4914412,-2254735497.2387476,-2228330125.9891872,-2206163177.3461742,-2190892883.9838943,730540.975625,106659.0,0.888825,0.0,0.0,0.0,nan,,1.0,900567170.051159,0.016084909439086914
Interest Only,1100000,10,10,880000.0,0.8125,-15501218.848509438,580270.1457380601,-16019435.807490548,-15710035.929533591,-15377915.865025762,-15119869.546204643,-14985827.112381596,489333.6958125,26440.0,0.661,0.0,0.0,0.0,nan,,1.0,12310457.464106457,0.005900859832763672
