loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,1240958.8235666186,360796.1239756579,865340.3264682698,1021562.5551030184,1173518.2792202625,1386509.7979832217,1690651.0055295655,273983.71597875,9403610.0,0.23509025,0.0,142640.41235537716,142640.41235537716,0.07847404011245906,0.01940951369725896,0.285658,48856.0030342404,5.647377252578735
Principal+Interest,1000000,10,10,800000.0,0.8125,-117096.41108361185,441513.2663228187,-694840.2206008298,-430599.8388024812,-94767.41114806215,167604.0781766036,424050.02023345773,475394.4445678125,39595612.0,0.9898903,0.0,276.9837264190001,276.9837264190001,nan,,0.993636,916514.4587256484,5.567338943481445
Interest Only,1000000,10,15,800000.0,0.71875,1080632.4945958753,311447.2651061299,756576.6771493629,891935.2514226278,1023592.1685984401,1204820.3153182196,1467228.516938824,245592.5966078125,9410466.0,0.23526165,0.0,94781.5495634132,94781.5495634132,0.07411876313339638,0.01833281849683862,0.300434,46342.612163298625,5.379108190536499
Principal+Interest,1000000,10,15,800000.0,0.71875,-415433.4890961965,436130.43936875684,-954881.9896969211,-723709.0645005375,-437106.3665147709,-100904.00425059792,145503.88029412358,422085.4714571875,39892105.0,0.997302625,0.0,13.229401539325128,13.229401539325128,nan,,0.998737,1041024.7267523652,5.503103971481323
Interest Only,1000000,10,20,800000.0,0.625,920403.0959429938,262150.98795747577,647783.2313912738,762181.7256866066,873775.2018780713,1023408.7798782766,1244016.2070879291,217284.2685671875,9419874.0,0.23549685,0.0,54513.91606102725,54513.91606102725,0.0690542993772314,0.017074183014800442,0.320565,44068.773199003015,5.40210223197937
Principal+Interest,1000000,10,20,800000.0,0.625,-765858.1930815638,436496.61896178796,-1276012.0662194397,-1022914.7478991797,-774524.6691483299,-499017.2030631382,-208706.79119974474,367699.9264209375,39987618.0,0.99969045,0.0,0.0,0.0,nan,,0.999944,1203784.9910995907,5.39637303352356
Interest Only,1000000,10,25,800000.0,0.53125,760343.2248504015,212927.45545358807,539031.0800752628,632494.9013426579,725558.0885507949,842341.6974426631,1020771.0843620229,189122.2995040625,9434970.0,0.23587425,0.0,24713.264780951537,24713.264780951537,0.06328869833300876,0.015630687597288712,0.349249,42187.49683970633,5.374763011932373
Principal+Interest,1000000,10,25,800000.0,0.53125,-1216806.8024291375,486800.47964317363,-1863646.3025409584,-1494677.7321521102,-1154765.5867722353,-893734.9399532374,-666650.9578382866,312984.96480124997,39999148.0,0.9999787,0.0,0.0,0.0,nan,,1.0,1440501.9431610869,5.352183818817139
Interest Only,1000000,10,30,800000.0,0.4375,600597.9602791985,163893.4792346632,430159.47957122786,502687.10841939395,577849.5530611848,662030.8520129303,798018.0548640706,161230.8377125,9459648.0,0.2364912,0.0,7317.507895777779,7317.507895777779,0.056762795265874244,0.013980034514335675,0.393274,41004.23627026936,5.434074878692627
Principal+Interest,1000000,10,30,800000.0,0.4375,-1806988.8639024259,531581.4550231361,-2507882.096329015,-2135070.386761405,-1762942.3713100208,-1429579.9698550855,-1161366.4727898245,258237.3256896875,39999940.0,0.9999985,0.0,0.0,0.0,nan,,1.0,1779799.8117264283,5.462914943695068
