loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,1164542.283763671,472279.0413252749,653096.1148872051,829233.2337145717,1079555.3153541088,1404268.0681647086,1782285.382740716,416000.0,4000000.0,1.0,0.0,79822.07558283737,79822.07558283737,0.06709582492457855,0.016640920099729926,0.48704,86338.13475386072,0.5400581359863281
Principal+Interest,1000000,10,10,800000.0,0.8125,-900240.5817225575,352129.7221634638,-1362787.7812603868,-1080848.5949495928,-838811.9146936665,-649480.9921294186,-516415.226832624,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1328321.6843029568,0.5397028923034668
Interest Only,1000000,10,15,800000.0,0.71875,960889.2735019343,392032.200835724,536832.4922803411,682908.7413879139,889867.8810443543,1159157.9167607594,1473500.1319243917,416000.0,4000000.0,1.0,0.0,35401.38583014446,35401.38583014446,0.056505643850015996,0.014024833805230855,0.60723,113124.83779932605,0.5323011875152588
Principal+Interest,1000000,10,15,800000.0,0.71875,-1103893.5919843067,422998.61900559574,-1660124.2393490477,-1322549.8747562869,-1030971.8660854467,-801716.6573644636,-641543.6515248392,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1415235.0482473753,0.538444995880127
Interest Only,1000000,10,20,800000.0,0.625,757236.2632402086,311923.78533059673,420376.768879544,536049.2810156485,700111.0921895639,914628.4955872999,1165295.6192104702,416000.0,4000000.0,1.0,0.0,10509.597858636324,10509.597858636324,0.043817918824506474,0.010863161172453154,0.75108,152196.4671312461,0.5362851619720459
Principal+Interest,1000000,10,20,800000.0,0.625,-1307546.602246019,496815.6296617983,-1960819.055595004,-1564031.8403149196,-1222705.2163613802,-952492.2928874753,-763278.3297860497,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1502148.4121917707,0.5278258323669434
Interest Only,1000000,10,25,800000.0,0.53125,553583.2529784549,232097.17138241112,303690.7068744765,389113.04696778435,510722.1637197677,669817.5931031315,857095.7830325684,416000.0,4000000.0,1.0,0.0,1508.7062933945015,1508.7062933945015,0.027064221757160167,0.006644020222610401,0.89191,208240.3154814306,0.5344290733337402
Principal+Interest,1000000,10,25,800000.0,0.53125,-1511199.612507766,572441.3994617622,-2263926.0070649036,-1807932.3902188567,-1413363.8259906122,-1102514.5641782903,-882933.0991639604,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1589061.7761361774,0.532102108001709
Interest Only,1000000,10,30,800000.0,0.4375,349930.2427167257,152994.0973317261,186282.12673225076,241650.51847481017,321203.2791281523,425565.45042026974,549701.2952456629,416000.0,4000000.0,1.0,0.0,50.65545389284541,50.65545389284541,-5.457799579722256e-06,,0.9819,282708.3583944404,0.5281007289886475
Principal+Interest,1000000,10,30,800000.0,0.4375,-1714852.6227695239,649244.1678637636,-2569069.3750962038,-2051067.7051667192,-1604215.7270182287,-1251772.8657254544,-1002198.0042370072,416000.0,4000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1675975.1400806066,0.534404993057251
Interest Only,1000000,15,15,800000.0,0.71875,1168216.5640150148,615910.5539084597,544538.3584892993,737471.6149506723,1034678.723536389,1443171.8014015323,1955329.9105683977,624000.0,6000000.0,1.0,0.0,72742.23217855046,72742.23217855046,0.05262246501787837,,0.61667,137578.51135754914,0.7931568622589111
Principal+Interest,1000000,15,15,800000.0,0.71875,-2156650.701234735,1019683.3271085733,-3477422.4894140437,-2641097.86497668,-1949381.1290082624,-1440131.858910372,-1094658.2716269926,624000.0,6000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1863273.7179005225,0.7930278778076172
Interest Only,1000000,15,20,800000.0,0.625,832133.2574924068,454144.9506617877,375828.68924000236,515260.581166846,731653.6519189649,1031657.1113610693,1413010.7247716596,624000.0,6000000.0,1.0,0.0,20381.751173560497,20381.751173560497,0.03621244035169413,,0.79896,208493.14358110123,0.7997310161590576
Principal+Interest,1000000,15,20,800000.0,0.625,-2492734.007757314,1173066.700105574,-4012178.723165471,-3049756.62971739,-2255712.8406081637,-1668423.1150877601,-1268750.574031757,624000.0,6000000.0,1.0,0.0,0.0,0.0,nan,,1.0,2008244.0102635724,0.8134438991546631
Interest Only,1000000,15,25,800000.0,0.53125,496049.9509697817,296137.9381553126,201850.47028349357,291183.63053546194,429392.2770933023,624231.1151833091,872066.2095803759,624000.0,6000000.0,1.0,0.0,2139.0727268420337,2139.0727268420337,0.010648994644705034,,0.94841,315280.85136729194,0.7912161350250244
Principal+Interest,1000000,15,25,800000.0,0.53125,-2828817.3142799544,1329272.3929343708,-4550291.668168132,-3459307.026406658,-2561955.4996600207,-1894403.6819779943,-1441817.7302293659,624000.0,6000000.0,1.0,0.0,0.0,0.0,nan,,1.0,2153214.3026266005,0.7963509559631348
Interest Only,1000000,15,30,800000.0,0.4375,159966.64444716845,153934.84669060475,9373.160728999543,59147.383489474654,128681.88025348153,225455.5184633633,349697.1857430486,624000.0,6000000.0,1.0,0.0,32.48314153699198,32.48314153699198,-0.05084609681200303,,0.99806,452229.07972924114,0.7943470478057861
Principal+Interest,1000000,15,30,800000.0,0.4375,-3164900.620802542,1487411.4840036284,-5088061.9319789475,-3868673.019374524,-2864548.9270816343,-2118604.000532764,-1613008.8742992175,624000.0,6000000.0,1.0,0.0,0.0,0.0,nan,,1.0,2298184.5949896434,0.7999560832977295
Interest Only,1000000,20,20,800000.0,0.625,748086.6003600585,581931.3441436423,209563.6374939455,357833.7107896763,602818.4496202833,969955.8627603024,1456855.7662600733,832000.0,8000000.0,1.0,0.0,22461.70649822931,22461.70649822931,0.021860221125812096,,0.87413,300263.87643064786,1.081376075744629
Principal+Interest,1000000,20,20,800000.0,0.625,-4603388.277666988,2544879.9522365616,-7828210.663320917,-5700828.749520358,-4031695.7691967394,-2838430.638375691,-2072457.557266837,832000.0,8000000.0,1.0,0.0,0.0,0.0,nan,,1.0,2708833.7305634096,1.0556137561798096
Interest Only,1000000,20,25,800000.0,0.53125,193876.84137686275,333400.1345622727,-121211.13221567954,-1522.3135772857945,134594.07999316204,323782.99930331856,582648.6702581544,832000.0,8000000.0,1.0,0.0,1071.4413612289588,1071.4413612289588,-0.038218267269547024,,0.98742,487542.4822793843,1.0567758083343506
Principal+Interest,1000000,20,25,800000.0,0.53125,-5157598.036650202,2849162.4686013428,-8770361.140637849,-6390915.106236009,-4518529.196340188,-3182542.485409733,-2322768.0686334586,832000.0,8000000.0,1.0,0.0,0.0,0.0,nan,,1.0,2927538.809055584,1.0699739456176758
Interest Only,1000000,20,30,800000.0,0.4375,-360332.91760632274,297985.68840968644,-725636.3665160795,-489765.17601034784,-303309.7870556776,-170131.45154761223,-73805.32487848193,832000.0,8000000.0,1.0,0.0,9.727165286064174,9.727165286064174,nan,,0.99992,703919.690634142,1.0530719757080078
Principal+Interest,1000000,20,30,800000.0,0.4375,-5711807.7956334315,3156607.0129205305,-9717522.90476133,-7076009.588602759,-5004547.752926668,-3521875.901383183,-2573397.548500444,832000.0,8000000.0,1.0,0.0,0.0,0.0,nan,,1.0,3146243.8875478716,1.074875831604004
Interest Only,1000000,25,25,800000.0,0.53125,-622796.4760431581,660803.9999122999,-1399398.1702294052,-890536.29128274,-503196.97138894384,-233190.7021929582,-20507.843411317477,1040000.0,10000000.0,1.0,0.0,353.44756868317745,353.44756868317745,nan,,0.9983,783611.5296508487,1.3103361129760742
Principal+Interest,1000000,25,25,800000.0,0.53125,-9246162.265568271,5808701.036890309,-16436266.684795303,-11586956.20574627,-7823174.8365500355,-5278954.744050797,-3719342.1001996817,1040000.0,10000000.0,1.0,0.0,0.0,0.0,nan,,1.0,4017936.937483273,1.3265583515167236
Interest Only,1000000,25,30,800000.0,0.4375,-1537550.5069894614,1027335.3406272392,-2806343.761229338,-1939936.4685932444,-1281476.3106522984,-842872.3349853964,-573338.3361135615,1040000.0,10000000.0,1.0,0.0,1.9748422259806073,1.9748422259806073,nan,,0.99998,1098177.3043543033,1.3132221698760986
Principal+Interest,1000000,25,30,800000.0,0.4375,-10160916.296514643,6388194.688055449,-18066630.10407168,-12733732.914070942,-8595907.175208211,-5803946.08935963,-4085024.6266443087,1040000.0,10000000.0,1.0,0.0,0.0,0.0,nan,,1.0,4332942.78425175,1.4370038509368896
Interest Only,1000000,30,30,800000.0,0.4375,-3965867.3809858416,2817525.6160465577,-7358534.444364561,-4996715.959449464,-3236730.3889339827,-2085955.540467375,-1408365.5088688012,1248000.0,12000000.0,1.0,0.0,0.0,0.0,nan,,1.0,1715444.1796862963,1.6501469612121582
Principal+Interest,1000000,30,30,800000.0,0.4375,-17836644.951731287,12452479.974133922,-32859305.709564693,-22441031.903699256,-14612958.651982097,-9502730.20354116,-6475565.912176486,1248000.0,12000000.0,1.0,0.0,0.0,0.0,nan,,1.0,5992063.844054147,1.5804359912872314
