loan_type,house_value,loan_duration,annuity_duration,loan_amount,reinvest_fraction,mean_reinvestment,std_reinvestment,p10_reinvestment,p25_reinvestment,p50_reinvestment,p75_reinvestment,p90_reinvestment,mean_deficit,total_holiday_quarters,pct_quarters_holiday,mean_funder_earned,mean_funder_profit_share,mean_net_position,mean_cagr,xirr,prob_insurance_payout,mean_insurance_payout_npv,simulation_time_sec
Interest Only,1000000,10,10,800000.0,0.8125,1166153.043991018,477354.9214874199,646643.6818544143,822228.651166863,1082791.2406398412,1407725.4856833671,1780635.8326753273,416000.0,400000.0,1.0,0.0,81104.07802956756,81104.07802956756,0.06734363261067622,0.01670145095874674,0.4832,87450.07906090394,0.32486701011657715
Principal+Interest,1000000,10,10,800000.0,0.8125,-902496.254858397,354604.5667128377,-1367946.9284101443,-1092095.5273590214,-838001.2267557158,-646589.7136684648,-518521.7374893612,416000.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1329845.5362501096,0.37673115730285645
Interest Only,1000000,10,15,800000.0,0.71875,962188.8140473062,396259.51366370893,531421.101306631,676323.466304342,892716.196338684,1162184.2895493442,1474415.1601938712,416000.0,400000.0,1.0,0.0,36082.8651810134,36082.8651810134,0.05671553122605055,0.014076483339016297,0.6002,113705.78710938813,0.34691500663757324
Principal+Interest,1000000,10,15,800000.0,0.71875,-1106460.4848021015,426302.8691541486,-1664696.9443841535,-1334060.0846485873,-1028668.9482191871,-796695.6139089094,-642994.2298929116,416000.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1416969.1490602924,0.3367018699645996
Interest Only,1000000,10,20,800000.0,0.625,758224.584103605,315301.9066293103,416947.71291556227,531515.2369804578,703803.6597366717,916577.2872419388,1167207.3780522551,416000.0,400000.0,1.0,0.0,11035.154014491058,11035.154014491058,0.044023561292568125,0.0109142215490915,0.7494,152280.60040005614,0.35320615768432617
Principal+Interest,1000000,10,20,800000.0,0.625,-1310424.7147458056,500962.7559199004,-1965953.5006607717,-1577978.1314836484,-1222405.9885791694,-945821.3279036287,-765096.0941888437,416000.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1504092.7618704692,0.35292601585388184
Interest Only,1000000,10,25,800000.0,0.53125,554260.3541599024,234624.7888299528,301225.3064843346,386409.05871164054,512285.96945774194,671429.0531286115,855593.3370186059,416000.0,400000.0,1.0,0.0,1591.5805464706252,1591.5805464706252,0.027204750383699183,0.006679334995711932,0.8922,208326.8497079329,0.4315037727355957
Principal+Interest,1000000,10,25,800000.0,0.53125,-1514388.9446895085,577436.6098915144,-2276413.664085836,-1823368.2712658031,-1413275.0080737001,-1096000.1670043126,-882842.3436427038,416000.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1591216.3746806446,0.349337100982666
Interest Only,1000000,10,30,800000.0,0.4375,350296.1242161973,154667.7076744318,185002.51978465932,240074.77364175284,322617.33178671566,426736.32280766725,547863.9700215824,416000.0,400000.0,1.0,0.0,47.1616547440812,47.1616547440812,9.803841421440751e-05,,0.9801,282572.49197721144,0.3489398956298828
Principal+Interest,1000000,10,30,800000.0,0.4375,-1718353.1746332168,655089.4619221808,-2583754.0257660346,-2067777.4519888344,-1605555.299745481,-1242687.313139754,-1001291.8142615781,416000.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1678339.9874908288,0.3542051315307617
Interest Only,1000000,15,15,800000.0,0.71875,1171146.7788605667,624108.7976467803,538816.2607760625,731035.8763614481,1037930.9978677875,1448281.1269633821,1969249.1433951114,624000.0,600000.0,1.0,0.0,74066.85240109447,74066.85240109447,0.05286268704669439,,0.612,138161.121468631,0.5060501098632812
Principal+Interest,1000000,15,15,800000.0,0.71875,-2161201.9435778726,1017531.445107983,-3501254.178180488,-2650353.1581602786,-1953619.7048867582,-1438879.4193337937,-1086818.385546233,624000.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,1865800.8612169484,0.6028597354888916
Interest Only,1000000,15,20,800000.0,0.625,834264.1573668725,460785.3299405777,370246.31002541096,511280.8658798565,734917.950596363,1035541.0481414441,1419522.8754591558,624000.0,600000.0,1.0,0.0,21037.216634540146,21037.216634540146,0.036437880907163045,,0.7978,208323.7420871394,0.5603499412536621
Principal+Interest,1000000,15,20,800000.0,0.625,-2498084.565071571,1172268.7178285755,-4042126.604534898,-3051196.6823425614,-2267285.679210049,-1664648.4220190297,-1261457.9164737447,624000.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2011214.9848098848,0.4873969554901123
Interest Only,1000000,15,25,800000.0,0.53125,497381.5358731785,301120.9129507864,198997.58912561508,290299.6993418858,430383.93450095865,626409.0941758549,873733.8696764295,624000.0,600000.0,1.0,0.0,2467.1031307349745,2467.1031307349745,0.010873097883340677,,0.9478,314941.8166113529,0.4921269416809082
Principal+Interest,1000000,15,25,800000.0,0.53125,-2834967.186565243,1329886.087886819,-4579408.408285595,-3469050.002157013,-2570516.8713057116,-1891921.7857609284,-1436058.9633466548,624000.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2156629.1084028305,0.5917997360229492
Interest Only,1000000,15,30,800000.0,0.4375,160498.91437948312,156728.5649896502,7497.865505588865,59392.90785226339,129585.93102197086,226284.07515393553,353888.0790818769,624000.0,600000.0,1.0,0.0,82.93922716116398,82.93922716116398,-0.050616029383789285,,0.9976,452017.2619493288,0.4904160499572754
Principal+Interest,1000000,15,30,800000.0,0.4375,-3171849.808058956,1489469.5101444314,-5114262.421582316,-3883640.901527819,-2877305.152183134,-2115165.0498889824,-1602507.7234953663,624000.0,600000.0,1.0,0.0,0.0,0.0,nan,,1.0,2302043.2319957796,0.49538469314575195
Interest Only,1000000,20,20,800000.0,0.625,752389.0759095995,600120.3903848621,209533.08800505302,352463.43334058515,606020.5985406607,980129.4479192545,1451422.4526856043,832000.0,800000.0,1.0,0.0,23864.212266129973,23864.212266129973,0.022237179304029908,,0.8739,299460.9607188338,0.775184154510498
Principal+Interest,1000000,20,20,800000.0,0.625,-4617687.460854425,2563606.0135460612,-7812604.474855878,-5703989.401830811,-4055676.4188621463,-2838631.5478600236,-2065913.623007357,832000.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,2715359.691111472,0.8689491748809814
Interest Only,1000000,20,25,800000.0,0.53125,195966.164475746,341598.15357186313,-120943.89357947266,-431.5090909501545,135533.24702309613,322141.17011228984,581487.1372020014,832000.0,800000.0,1.0,0.0,1540.4879021285565,1540.4879021285565,-0.03759107927052818,,0.987,487174.40053583117,0.667356014251709
Principal+Interest,1000000,20,25,800000.0,0.53125,-5174110.3722882755,2874520.2468234478,-8768472.213636665,-6401579.776346688,-4555673.635524833,-3173906.7200300465,-2312847.9603800294,832000.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,2935074.8234921014,0.6724667549133301
Interest Only,1000000,20,30,800000.0,0.4375,-360456.7469581029,294987.2532024763,-727521.0033545108,-490937.4654354173,-305724.0665792922,-172182.52801157697,-74389.60134552323,832000.0,800000.0,1.0,0.0,41.59649481033939,41.59649481033939,nan,,0.9998,704036.1674114236,0.6881296634674072
Principal+Interest,1000000,20,30,800000.0,0.4375,-5730533.283722119,3188642.480988825,-9724137.934939303,-7095618.538129353,-5040701.629169967,-3517022.2882508943,-2563263.803007583,832000.0,800000.0,1.0,0.0,0.0,0.0,nan,,1.0,3154789.9558727276,0.7319188117980957
Interest Only,1000000,25,25,800000.0,0.53125,-624002.3481841292,654293.553648001,-1396969.3379201512,-897205.7989742138,-511024.94210453174,-237142.68151859718,-22208.858244469364,1040000.0,1000000.0,1.0,0.0,519.7132977784149,519.7132977784149,nan,,0.9983,784211.7165451044,0.9410192966461182
Principal+Interest,1000000,25,25,800000.0,0.53125,-9309597.302869996,5904915.134155863,-16608876.949106552,-11725176.755801976,-7851498.586578012,-5290795.688459312,-3704337.1428570766,1040000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,1.0,4041732.4858267712,1.1734929084777832
Interest Only,1000000,25,30,800000.0,0.4375,-1546026.4251620395,1030249.413602092,-2808112.0250717355,-1961760.8082516198,-1282676.9343347312,-845616.8204936378,-572007.7888816996,1040000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,0.9999,1101360.3451083,1.0410699844360352
Principal+Interest,1000000,25,30,800000.0,0.4375,-10231621.379847944,6500220.888784261,-18216824.965191197,-12865116.936419243,-8614854.033174649,-5816254.398082627,-4066654.894987427,1040000.0,1000000.0,1.0,0.0,0.0,0.0,nan,,1.0,4359465.449014854,0.9139137268066406
Interest Only,1000000,30,30,800000.0,0.4375,-3979408.0744712097,2827864.326582904,-7361720.408041777,-5010904.674106875,-3244550.9244088493,-2107502.981538709,-1416265.3088989223,1248000.0,1200000.0,1.0,0.0,0.0,0.0,nan,,1.0,1719619.028265159,1.1050231456756592
Principal+Interest,1000000,30,30,800000.0,0.4375,-17921310.093852285,12562355.342121745,-33122550.095030725,-22514470.98574189,-14623840.00523673,-9525524.091111427,-6486639.796344865,1248000.0,1200000.0,1.0,0.0,0.0,0.0,nan,,1.0,6018167.687896663,1.3795740604400635
Interest Only,1100000,10,10,880000.0,0.8125,1282768.3483901212,525090.4136361624,711308.050039856,904451.5162835495,1191070.3647038247,1548498.0342517053,1958699.4159428596,457600.0,400000.0,1.0,0.0,89214.48583252412,89214.48583252412,0.06734363261067644,0.01670145095874681,0.4832,96195.08696699441,0.49562978744506836
Principal+Interest,1100000,10,10,880000.0,0.8125,-992745.8803442413,390065.0233841204,-1504741.6212511589,-1201305.0800949237,-921801.3494312875,-711248.6850353117,-570373.9112382975,457600.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1462830.0898751167,0.3506448268890381
Interest Only,1100000,10,15,880000.0,0.71875,1058407.695452039,435885.4650300792,584563.2114372941,743955.8129347767,981987.8159725526,1278402.7185042773,1621856.6762132586,457600.0,400000.0,1.0,0.0,39691.15169911463,39691.15169911463,0.056715531226050775,0.014076483339016215,0.6002,125076.36582032705,0.3217926025390625
Principal+Interest,1100000,10,15,880000.0,0.71875,-1217106.5332823102,468933.156069563,-1831166.638822569,-1467466.0931134461,-1131535.8430411054,-876365.1752998006,-707293.6528822028,457600.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1558666.0639663213,0.3254048824310303
Interest Only,1100000,10,20,880000.0,0.625,834047.0425139667,346832.0972922415,458642.4842071185,584666.7606785035,774184.0257103393,1008235.0159661334,1283928.1158574799,457600.0,400000.0,1.0,0.0,12138.669415940172,12138.669415940172,0.04402356129256835,0.010914221549091671,0.7494,167508.66044006197,0.4025537967681885
Principal+Interest,1100000,10,20,880000.0,0.625,-1441467.1862203935,551059.03151189,-2162548.850726849,-1735775.9446320133,-1344646.5874370865,-1040403.4606939909,-841605.703607728,457600.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1654502.038057512,0.33072781562805176
Interest Only,1100000,10,25,880000.0,0.53125,609686.3895758899,258087.26771294765,331347.8371327683,425049.9645828048,563514.566403516,738571.9584414731,941152.6707204663,457600.0,400000.0,1.0,0.0,1750.7386011176911,1750.7386011176911,0.02720475038369874,0.006679334995711759,0.8922,229159.5346787255,0.332883358001709
Principal+Interest,1100000,10,25,880000.0,0.53125,-1665827.8391584617,635180.2708806673,-2504055.030494419,-2005705.0983923832,-1554602.5088810693,-1205600.1837047434,-971126.5780069742,457600.0,400000.0,1.0,0.0,0.0,0.0,nan,,1.0,1750338.0121487104,0.33246612548828125
