ltv,lending_margin,additional_margin,annual_income_pct,annual_income,insurance_cost_pa,loan_amount,reinvest_fraction,total_cost_of_funds,mean_reinvestment,mean_cagr,xirr,prob_insurance_payout,mean_funder_earned
0.4,0.02,0.01,0.01,20000.0,0.01,800000.0,0.5,0.06999999999999999,722293.79,0.03516627769911507,0.010053793159518154,0.56,540623.25
0.4,0.02,0.01,0.01,20000.0,0.015,800000.0,0.5,0.06999999999999999,460253.53,0.008729895305819246,0.0022470140307009334,0.81,419604.0
0.4,0.02,0.01,0.01,20000.0,0.02,800000.0,0.5,0.06999999999999999,296001.99,-0.014289749396264262,-0.003617432504115059,0.96,386343.0
0.4,0.02,0.01,0.01,20000.0,0.025,800000.0,0.5,0.06999999999999999,187340.7,-0.037216569710297076,-0.01651288869947265,1.0,228912.0
0.4,0.02,0.01,0.01,20000.0,0.03,800000.0,0.5,0.06999999999999999,101001.01,-0.06650222687604102,-0.03374655887671607,1.0,141302.25
0.4,0.02,0.01,0.015,30000.0,0.01,800000.0,0.25,0.06999999999999999,129395.88,-0.021536741071579102,-0.03736425144874622,1.0,167788.5
0.4,0.02,0.01,0.015,30000.0,0.015,800000.0,0.25,0.06999999999999999,47727.91,-0.06913410044254731,-0.11423836910596297,1.0,73368.0
0.4,0.02,0.01,0.015,30000.0,0.02,800000.0,0.25,0.06999999999999999,-251216.35,nan,nan,1.0,16496.625
0.4,0.02,0.01,0.015,30000.0,0.025,800000.0,0.25,0.06999999999999999,-777713.64,nan,nan,1.0,41213.25
0.4,0.02,0.01,0.015,30000.0,0.03,800000.0,0.25,0.06999999999999999,-1345205.84,nan,nan,1.0,50923.5
0.4,0.02,0.015,0.01,20000.0,0.01,800000.0,0.5,0.075,666590.12,0.03006318337324876,0.00862217186785652,0.56,517520.25
0.4,0.02,0.015,0.01,20000.0,0.015,800000.0,0.5,0.075,412451.09,0.0025611219008658814,0.000826740747998489,0.89,415431.0
0.4,0.02,0.015,0.01,20000.0,0.02,800000.0,0.5,0.075,308654.14,-0.0118559954381664,-0.004962164328013552,0.96,330901.5
0.4,0.02,0.015,0.01,20000.0,0.025,800000.0,0.5,0.075,189698.18,-0.036614381941564855,-0.015021965558898898,0.99,244236.75
0.4,0.02,0.015,0.01,20000.0,0.03,800000.0,0.5,0.075,103976.01,-0.06514628584458348,-0.034310289459658416,1.0,134148.75
0.4,0.02,0.015,0.015,30000.0,0.01,800000.0,0.25,0.075,128443.86,-0.02189795337845568,-0.038064001117180446,1.0,172750.125
0.4,0.02,0.015,0.015,30000.0,0.015,800000.0,0.25,0.075,50089.81,-0.06688328418092793,-0.11137436079778607,1.0,66893.25
0.4,0.02,0.015,0.015,30000.0,0.02,800000.0,0.25,0.075,-259632.24,nan,nan,1.0,16744.125
0.4,0.02,0.015,0.015,30000.0,0.025,800000.0,0.25,0.075,-819659.68,nan,nan,1.0,38748.75
0.4,0.02,0.015,0.015,30000.0,0.03,800000.0,0.25,0.075,-1222981.67,nan,nan,1.0,54030.0
0.4,0.02,0.02,0.01,20000.0,0.01,800000.0,0.5,0.08,644061.8,0.02876012899704561,0.008211780417960446,0.67,504034.5
0.4,0.02,0.02,0.01,20000.0,0.015,800000.0,0.5,0.08,420706.63,0.003579641915011589,0.0009616205367879438,0.87,412305.75
0.4,0.02,0.02,0.01,20000.0,0.02,800000.0,0.5,0.08,289344.14,-0.016061996589750493,-0.006366034254983832,0.99,318253.5
0.4,0.02,0.02,0.01,20000.0,0.025,800000.0,0.5,0.08,184625.13,-0.03791921438002133,-0.017256118403631726,1.0,209982.75
0.4,0.02,0.02,0.01,20000.0,0.03,800000.0,0.5,0.08,101632.63,-0.06621120428156246,-0.0366764445844846,1.0,113451.75
0.4,0.02,0.02,0.015,30000.0,0.01,800000.0,0.25,0.08,135572.14,-0.01925292221523045,-0.03570702976141493,1.0,159875.625
0.4,0.02,0.02,0.015,30000.0,0.015,800000.0,0.25,0.08,46916.12,-0.0699322090589738,-0.11687824532458668,1.0,63071.625
0.4,0.02,0.02,0.015,30000.0,0.02,800000.0,0.25,0.08,-269388.76,nan,nan,1.0,14761.5
0.4,0.02,0.02,0.015,30000.0,0.025,800000.0,0.25,0.08,-790568.1,nan,nan,1.0,35667.75
0.4,0.02,0.02,0.015,30000.0,0.03,800000.0,0.25,0.08,-1250449.84,nan,nan,1.0,51751.875
0.4,0.02,0.025,0.01,20000.0,0.01,800000.0,0.5,0.08499999999999999,533308.16,0.015362824521105045,0.004669475085824049,0.75,466893.75
0.4,0.02,0.025,0.01,20000.0,0.015,800000.0,0.5,0.08499999999999999,372578.66,-0.003422709285065162,-0.0004589826934625618,0.93,414971.25
0.4,0.02,0.025,0.01,20000.0,0.02,800000.0,0.5,0.08499999999999999,287430.24,-0.0163777251221483,-0.00686202773765987,0.99,308832.75
0.4,0.02,0.025,0.01,20000.0,0.025,800000.0,0.5,0.08499999999999999,189955.4,-0.036549109152294035,-0.01772597939354903,1.0,195889.5
0.4,0.02,0.025,0.01,20000.0,0.03,800000.0,0.5,0.08499999999999999,100287.86,-0.06683290030326028,-0.03756587290486779,1.0,112737.0
0.4,0.02,0.025,0.015,30000.0,0.01,800000.0,0.25,0.08499999999999999,131527.58,-0.02073700890703567,-0.03829442616710754,1.0,157703.25
0.4,0.02,0.025,0.015,30000.0,0.015,800000.0,0.25,0.08499999999999999,49780.62,-0.06717212505537518,-0.11631122151661921,1.0,56211.75
0.4,0.02,0.025,0.015,30000.0,0.02,800000.0,0.25,0.08499999999999999,-266530.27,nan,nan,1.0,14546.625
0.4,0.02,0.025,0.015,30000.0,0.025,800000.0,0.25,0.08499999999999999,-746510.59,nan,nan,1.0,38853.375
0.4,0.02,0.025,0.015,30000.0,0.03,800000.0,0.25,0.08499999999999999,-1273786.56,nan,nan,1.0,50991.375
